age,job,marital,education,default,housing,loan,id,contact,month,day_of_week,campaign,pdays,previous,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed
35,admin.,married,professional.course,no,yes,no,21700,cellular,may,mon,2,3,1,-1.8,92.893,-46.2,1.354,5099.1
35,technician,married,basic.6y,no,no,no,8270,telephone,may,fri,3,999,0,1.1,93.994,-36.4,4.864,5191.0
68,retired,single,university.degree,no,yes,no,30415,cellular,sep,fri,1,999,0,-3.4,92.379,-29.8,0.741,5017.5
37,blue-collar,married,basic.6y,unknown,no,yes,18952,cellular,jul,wed,1,999,0,1.4,93.918,-42.7,4.962,5228.1
30,admin.,single,high.school,no,yes,no,36369,telephone,jul,fri,1,999,0,1.4,93.918,-42.7,4.959,5228.1
35,retired,married,basic.4y,unknown,no,no,33188,cellular,jul,thu,14,999,0,1.4,93.918,-42.7,4.962,5228.1
27,admin.,single,university.degree,no,no,no,10189,cellular,jul,mon,1,999,0,1.4,93.918,-42.7,4.96,5228.1
34,entrepreneur,single,professional.course,no,yes,no,27700,telephone,jun,mon,4,999,0,1.4,94.465,-41.8,4.96,5228.1
52,entrepreneur,married,basic.9y,unknown,no,no,12385,telephone,may,wed,4,999,0,1.1,93.994,-36.4,4.857,5191.0
43,admin.,married,university.degree,no,no,yes,37362,cellular,aug,fri,9,999,0,1.4,93.444,-36.1,4.963,5228.1
31,technician,single,professional.course,no,yes,no,22952,cellular,nov,thu,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8
35,technician,married,high.school,unknown,no,yes,17641,cellular,aug,tue,1,999,0,1.4,93.444,-36.1,4.966,5228.1
34,technician,single,professional.course,no,no,yes,30633,cellular,may,mon,1,999,1,-1.8,92.893,-46.2,1.264,5099.1
56,management,married,university.degree,no,no,no,10666,cellular,apr,tue,5,999,0,-1.8,93.075,-47.1,1.453,5099.1
33,services,married,high.school,no,yes,no,23347,cellular,apr,thu,1,999,1,-1.8,93.075,-47.1,1.435,5099.1
36,entrepreneur,single,university.degree,no,no,no,14374,cellular,may,tue,1,999,0,-1.8,92.893,-46.2,1.291,5099.1
31,services,single,high.school,no,yes,no,32695,cellular,may,wed,1,999,1,-1.8,92.893,-46.2,1.281,5099.1
65,retired,married,professional.course,no,yes,no,2398,cellular,aug,tue,1,6,3,-1.7,94.027,-38.3,0.904,4991.6
30,admin.,single,university.degree,no,yes,yes,23023,telephone,nov,fri,1,999,0,-0.1,93.2,-42.0,4.021,5195.8
39,admin.,married,professional.course,no,yes,yes,5766,telephone,may,wed,1,999,0,1.1,93.994,-36.4,4.857,5191.0
30,technician,married,university.degree,no,no,yes,22685,cellular,jun,fri,1,999,1,-1.7,94.055,-39.8,0.748,4991.6
36,admin.,single,professional.course,no,no,no,13741,cellular,apr,fri,1,999,1,-1.8,93.075,-47.1,1.405,5099.1
50,blue-collar,married,basic.4y,no,no,no,825,cellular,may,mon,1,9,1,-1.8,92.893,-46.2,1.2990000000000002,5099.1
30,blue-collar,single,high.school,unknown,yes,no,166,cellular,may,thu,1,999,0,-1.8,92.893,-46.2,1.327,5099.1
32,blue-collar,married,basic.4y,unknown,yes,no,23703,cellular,jul,wed,1,999,0,1.4,93.918,-42.7,4.962,5228.1
55,services,married,unknown,unknown,yes,no,1090,cellular,aug,wed,3,999,0,1.4,93.444,-36.1,4.964,5228.1
47,blue-collar,single,basic.4y,no,yes,no,10107,telephone,may,mon,2,999,0,1.1,93.994,-36.4,4.857,5191.0
35,blue-collar,divorced,basic.9y,no,unknown,unknown,28968,telephone,jun,mon,3,999,0,1.4,94.465,-41.8,4.96,5228.1
58,retired,married,basic.4y,no,no,no,1880,cellular,jul,tue,1,999,0,1.4,93.918,-42.7,4.961,5228.1
47,admin.,married,high.school,unknown,yes,no,22599,cellular,aug,wed,7,999,0,1.4,93.444,-36.1,4.964,5228.1
43,blue-collar,married,basic.9y,unknown,yes,no,18286,cellular,may,tue,1,999,0,-1.8,92.893,-46.2,1.344,5099.1
34,admin.,married,university.degree,no,no,yes,16034,cellular,may,wed,4,999,1,-1.8,92.893,-46.2,1.281,5099.1
42,services,married,professional.course,no,yes,no,6022,telephone,may,tue,1,999,0,1.1,93.994,-36.4,4.857,5191.0
52,management,divorced,university.degree,no,no,no,767,telephone,jun,thu,1,999,0,1.4,94.465,-41.8,4.8660000000000005,5228.1
52,technician,married,high.school,no,yes,no,13558,cellular,nov,tue,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8
36,blue-collar,married,basic.9y,no,no,yes,17691,cellular,jul,wed,1,999,0,1.4,93.918,-42.7,4.963,5228.1
36,services,married,high.school,unknown,no,no,16804,cellular,may,fri,1,999,0,-1.8,92.893,-46.2,1.3130000000000002,5099.1
38,blue-collar,single,basic.6y,unknown,no,no,5651,cellular,may,fri,1,999,0,-1.8,92.893,-46.2,1.3130000000000002,5099.1
55,admin.,single,university.degree,unknown,yes,yes,1924,telephone,may,wed,1,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0
41,technician,married,professional.course,no,no,no,29695,cellular,mar,fri,2,999,0,-1.8,92.843,-50.0,1.531,5099.1
31,technician,married,professional.course,unknown,yes,no,7552,cellular,aug,wed,2,999,0,1.4,93.444,-36.1,4.965,5228.1
37,admin.,married,university.degree,no,no,yes,15769,cellular,aug,thu,3,999,0,1.4,93.444,-36.1,4.963,5228.1
31,blue-collar,single,basic.9y,unknown,yes,no,24954,cellular,jul,fri,4,999,0,1.4,93.918,-42.7,4.957,5228.1
50,housemaid,single,unknown,no,no,no,7609,telephone,jun,mon,4,999,0,1.4,94.465,-41.8,4.96,5228.1
32,admin.,single,university.degree,no,yes,no,1808,cellular,aug,tue,1,999,0,1.4,93.444,-36.1,4.963,5228.1
48,technician,married,professional.course,no,yes,no,21904,telephone,jul,tue,11,999,0,1.4,93.918,-42.7,4.961,5228.1
32,blue-collar,married,high.school,no,yes,no,26883,cellular,nov,wed,1,999,0,-0.1,93.2,-42.0,4.12,5195.8
52,technician,married,high.school,no,yes,no,36143,telephone,jun,wed,1,999,0,1.4,94.465,-41.8,4.959,5228.1
32,services,married,high.school,no,no,no,40062,cellular,may,tue,4,1,2,-1.8,92.893,-46.2,1.291,5099.1
24,student,single,high.school,no,yes,no,29685,cellular,aug,fri,1,999,0,-2.9,92.201,-31.4,0.8809999999999999,5076.2
45,services,married,professional.course,no,yes,yes,8284,cellular,aug,thu,4,999,0,1.4,93.444,-36.1,4.962,5228.1
53,admin.,married,basic.9y,no,no,no,31909,telephone,may,mon,3,999,0,1.1,93.994,-36.4,4.857,5191.0
41,technician,married,unknown,no,yes,yes,2045,cellular,may,mon,1,3,2,-1.8,92.893,-46.2,1.354,5099.1
33,admin.,married,university.degree,no,no,no,7820,cellular,aug,wed,1,999,0,1.4,93.444,-36.1,4.964,5228.1
35,blue-collar,married,basic.6y,no,yes,no,10607,cellular,jul,fri,2,999,0,1.4,93.918,-42.7,4.963,5228.1
33,admin.,single,university.degree,no,yes,no,13587,telephone,jun,tue,2,999,0,1.4,94.465,-41.8,4.961,5228.1
31,technician,married,university.degree,no,yes,no,35865,cellular,aug,wed,2,999,0,1.4,93.444,-36.1,4.967,5228.1
57,admin.,divorced,unknown,unknown,no,no,10724,telephone,jun,tue,19,999,0,1.4,94.465,-41.8,4.864,5228.1
52,self-employed,married,basic.9y,unknown,yes,no,12950,telephone,may,tue,4,999,0,1.1,93.994,-36.4,4.857,5191.0
55,entrepreneur,married,university.degree,unknown,no,no,20555,cellular,nov,tue,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8
43,services,married,high.school,no,no,no,24089,telephone,jun,fri,7,999,0,1.4,94.465,-41.8,4.959,5228.1
30,student,single,university.degree,no,no,no,1074,cellular,nov,fri,4,999,1,-0.1,93.2,-42.0,4.021,5195.8
32,admin.,single,university.degree,no,yes,no,1084,cellular,apr,thu,2,999,0,-1.8,93.749,-34.6,0.635,5008.7
39,technician,single,university.degree,unknown,yes,no,5012,cellular,jul,mon,4,999,0,1.4,93.918,-42.7,4.962,5228.1
41,self-employed,married,university.degree,no,yes,no,7027,cellular,aug,mon,2,999,0,1.4,93.444,-36.1,4.963,5228.1
46,technician,married,basic.6y,no,no,no,18833,cellular,apr,tue,1,999,0,-1.8,93.075,-47.1,1.453,5099.1
32,technician,single,high.school,no,yes,no,22647,telephone,jun,thu,3,999,0,1.4,94.465,-41.8,4.8660000000000005,5228.1
42,housemaid,divorced,basic.4y,no,yes,no,34119,cellular,jul,mon,9,999,0,1.4,93.918,-42.7,4.96,5228.1
30,blue-collar,single,basic.9y,unknown,yes,yes,25171,telephone,may,mon,1,999,0,1.1,93.994,-36.4,4.857,5191.0
21,student,single,high.school,no,yes,no,7814,cellular,may,tue,2,999,0,-1.8,92.893,-46.2,1.266,5099.1
38,services,married,high.school,no,no,no,34401,cellular,apr,fri,2,999,0,-1.8,93.075,-47.1,1.405,5099.1
39,unemployed,married,basic.9y,unknown,no,yes,40816,cellular,nov,tue,1,999,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8
57,blue-collar,married,basic.6y,no,yes,no,23773,cellular,jul,wed,1,999,0,1.4,93.918,-42.7,4.962,5228.1
24,blue-collar,single,basic.9y,no,no,yes,15102,cellular,may,thu,1,999,1,-1.8,92.893,-46.2,1.266,5099.1
51,blue-collar,married,professional.course,no,no,yes,3122,telephone,may,tue,2,999,0,1.1,93.994,-36.4,4.856,5191.0
37,technician,married,professional.course,no,yes,no,28917,cellular,aug,wed,1,999,0,-2.9,92.201,-31.4,0.884,5076.2
41,blue-collar,married,basic.9y,unknown,no,no,28349,telephone,may,fri,2,999,0,1.1,93.994,-36.4,4.859,5191.0
43,blue-collar,married,basic.6y,unknown,no,no,31321,telephone,may,thu,2,999,0,1.1,93.994,-36.4,4.855,5191.0
26,blue-collar,married,high.school,no,no,no,9419,cellular,jul,wed,3,999,0,1.4,93.918,-42.7,4.963,5228.1
49,management,married,university.degree,no,no,no,6884,cellular,apr,thu,1,999,1,-1.8,93.075,-47.1,1.41,5099.1
51,admin.,married,university.degree,unknown,unknown,unknown,12406,cellular,aug,wed,1,999,0,1.4,93.444,-36.1,4.965,5228.1
27,self-employed,married,university.degree,no,yes,no,20324,cellular,may,mon,1,999,0,-1.8,92.893,-46.2,1.2990000000000002,5099.1
29,admin.,single,high.school,no,yes,no,39037,cellular,nov,thu,3,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8
34,technician,single,professional.course,no,yes,no,15227,cellular,aug,tue,2,999,0,1.4,93.444,-36.1,4.966,5228.1
52,blue-collar,married,basic.4y,no,yes,no,3110,telephone,may,tue,10,999,0,1.1,93.994,-36.4,4.857,5191.0
59,blue-collar,married,basic.4y,unknown,unknown,unknown,3267,cellular,jul,mon,4,999,0,1.4,93.918,-42.7,4.96,5228.1
29,admin.,single,university.degree,no,no,no,26411,telephone,may,tue,2,999,0,1.1,93.994,-36.4,4.857,5191.0
29,technician,single,professional.course,no,no,no,4803,cellular,apr,thu,2,2,1,-1.8,93.075,-47.1,1.365,5099.1
26,admin.,single,high.school,no,no,no,5695,cellular,jul,fri,3,999,0,1.4,93.918,-42.7,4.957,5228.1
47,blue-collar,married,basic.4y,no,no,yes,37549,telephone,may,thu,1,999,0,1.1,93.994,-36.4,4.86,5191.0
39,blue-collar,married,basic.4y,no,yes,no,20195,cellular,apr,mon,3,999,0,-1.8,93.075,-47.1,1.405,5099.1
80,retired,divorced,unknown,no,yes,yes,19902,cellular,nov,fri,2,3,1,-3.4,92.649,-30.1,0.7140000000000001,5017.5
52,services,married,basic.6y,no,no,no,21039,cellular,nov,fri,1,999,0,-0.1,93.2,-42.0,4.021,5195.8
41,admin.,divorced,university.degree,no,no,no,31913,telephone,nov,thu,4,999,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8
43,blue-collar,married,basic.4y,no,yes,no,25177,telephone,may,tue,2,999,0,1.1,93.994,-36.4,4.856,5191.0
55,blue-collar,married,basic.4y,unknown,yes,yes,15037,telephone,may,tue,2,999,0,1.1,93.994,-36.4,4.856,5191.0
35,blue-collar,single,basic.9y,no,yes,no,24626,cellular,jul,wed,1,999,0,1.4,93.918,-42.7,4.957,5228.1
43,technician,single,professional.course,no,no,no,1324,telephone,may,wed,1,999,0,1.1,93.994,-36.4,4.857,5191.0
48,admin.,divorced,university.degree,no,no,no,837,telephone,may,tue,5,999,1,-1.8,92.893,-46.2,1.291,5099.1
32,technician,married,university.degree,no,no,yes,38343,cellular,nov,thu,2,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8
37,technician,married,professional.course,no,no,yes,14229,telephone,may,thu,1,999,0,1.1,93.994,-36.4,4.86,5191.0
29,technician,single,university.degree,no,yes,no,31207,cellular,aug,tue,3,999,0,1.4,93.444,-36.1,4.963,5228.1
38,housemaid,married,university.degree,no,yes,no,2779,cellular,aug,tue,2,999,0,1.4,93.444,-36.1,4.968,5228.1
46,management,married,university.degree,no,yes,no,16973,cellular,nov,thu,6,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8
24,services,single,professional.course,no,yes,no,40430,telephone,may,mon,1,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0
41,services,divorced,unknown,no,no,no,13462,telephone,may,fri,3,999,0,1.1,93.994,-36.4,4.857,5191.0
29,entrepreneur,married,university.degree,no,no,no,10093,telephone,jul,tue,5,999,0,1.4,93.918,-42.7,4.962,5228.1
34,technician,married,unknown,no,yes,no,7796,telephone,may,tue,3,999,0,-1.8,93.876,-40.0,0.682,5008.7
31,management,single,university.degree,no,yes,no,23981,cellular,jul,mon,2,999,0,1.4,93.918,-42.7,4.962,5228.1
38,management,married,university.degree,unknown,no,no,15398,telephone,may,thu,3,999,0,1.1,93.994,-36.4,4.855,5191.0
29,admin.,single,high.school,no,yes,yes,5876,cellular,jul,thu,3,999,0,1.4,93.918,-42.7,4.968,5228.1
42,admin.,married,university.degree,no,no,no,6437,cellular,aug,tue,2,999,0,1.4,93.444,-36.1,4.968,5228.1
38,technician,single,high.school,unknown,yes,yes,21010,cellular,aug,mon,3,999,0,1.4,93.444,-36.1,4.965,5228.1
57,retired,single,unknown,unknown,yes,no,2118,cellular,jul,tue,19,999,0,1.4,93.918,-42.7,4.961,5228.1
26,admin.,single,high.school,no,no,no,13061,cellular,jul,thu,4,999,0,1.4,93.918,-42.7,4.963,5228.1
43,admin.,married,professional.course,no,no,no,10878,telephone,may,fri,2,999,0,1.1,93.994,-36.4,4.857,5191.0
26,services,married,high.school,no,no,no,23761,telephone,may,mon,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0
33,admin.,single,university.degree,no,yes,yes,29663,telephone,jun,wed,1,999,0,1.4,94.465,-41.8,4.864,5228.1
33,blue-collar,married,professional.course,no,yes,no,29987,cellular,may,fri,1,999,1,-1.8,92.893,-46.2,1.25,5099.1
33,technician,single,professional.course,no,no,no,5501,cellular,aug,tue,1,999,0,1.4,93.444,-36.1,4.963,5228.1
47,blue-collar,married,basic.4y,unknown,yes,yes,30524,cellular,jul,thu,1,999,0,1.4,93.918,-42.7,4.958,5228.1
50,management,divorced,university.degree,no,no,no,13666,cellular,nov,fri,1,999,1,-0.1,93.2,-42.0,4.021,5195.8
26,admin.,divorced,basic.9y,no,no,no,26791,cellular,jul,mon,3,999,0,1.4,93.918,-42.7,4.96,5228.1
39,technician,single,professional.course,unknown,no,no,7017,cellular,aug,thu,4,999,0,1.4,93.444,-36.1,4.962,5228.1
31,services,single,high.school,no,yes,yes,5303,cellular,jul,mon,1,999,0,1.4,93.918,-42.7,4.96,5228.1
56,blue-collar,married,basic.4y,unknown,yes,no,30414,cellular,jul,tue,2,999,0,1.4,93.918,-42.7,4.961,5228.1
48,admin.,married,university.degree,no,yes,no,15474,cellular,nov,wed,1,999,0,-0.1,93.2,-42.0,4.12,5195.8
28,services,single,basic.9y,no,yes,no,27118,telephone,may,fri,2,999,0,1.1,93.994,-36.4,4.859,5191.0
54,admin.,single,university.degree,no,yes,no,5698,cellular,nov,tue,1,999,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8
46,admin.,married,high.school,no,yes,yes,18375,cellular,sep,fri,3,999,0,-3.4,92.379,-29.8,0.8029999999999999,5017.5
49,admin.,divorced,high.school,no,yes,no,11644,cellular,may,thu,3,999,1,-1.8,92.893,-46.2,1.327,5099.1
39,housemaid,married,basic.4y,no,no,no,618,cellular,jul,wed,1,999,0,1.4,93.918,-42.7,4.962,5228.1
51,unemployed,married,high.school,no,yes,no,21186,cellular,sep,wed,2,999,0,-3.4,92.379,-29.8,0.768,5017.5
37,housemaid,married,high.school,unknown,yes,no,3668,cellular,aug,thu,1,999,0,1.4,93.444,-36.1,4.968,5228.1
32,technician,single,university.degree,no,yes,no,31784,cellular,aug,mon,1,999,0,1.4,93.444,-36.1,4.965,5228.1
27,admin.,married,high.school,unknown,no,no,34440,cellular,jul,thu,3,999,0,1.4,93.918,-42.7,4.968,5228.1
43,admin.,divorced,basic.9y,no,yes,no,35932,cellular,may,wed,1,999,0,-1.8,92.893,-46.2,1.281,5099.1
46,technician,divorced,university.degree,no,no,no,40389,telephone,jun,fri,3,999,0,1.4,94.465,-41.8,4.967,5228.1
35,management,single,university.degree,no,no,yes,29997,cellular,nov,mon,2,999,0,-3.4,92.649,-30.1,0.722,5017.5
39,services,married,high.school,no,yes,no,38478,cellular,apr,thu,1,999,0,-1.8,93.075,-47.1,1.365,5099.1
25,services,single,high.school,no,no,no,9637,telephone,may,mon,10,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0
49,admin.,single,university.degree,no,yes,no,24886,cellular,aug,mon,4,999,0,1.4,93.444,-36.1,4.965,5228.1
30,technician,married,high.school,no,no,no,37034,telephone,jun,fri,6,999,0,1.4,94.465,-41.8,4.947,5228.1
40,admin.,married,university.degree,no,no,no,33612,cellular,aug,wed,2,999,1,-2.9,92.201,-31.4,0.884,5076.2
31,admin.,single,university.degree,no,yes,no,28934,cellular,aug,tue,1,999,0,1.4,93.444,-36.1,4.963,5228.1
38,blue-collar,married,basic.6y,no,yes,no,4447,cellular,nov,wed,1,999,0,-0.1,93.2,-42.0,4.12,5195.8
22,blue-collar,single,basic.9y,no,yes,no,17328,telephone,jul,thu,7,999,0,1.4,93.918,-42.7,4.963,5228.1
53,retired,divorced,high.school,no,unknown,unknown,14506,telephone,may,wed,2,999,0,1.1,93.994,-36.4,4.859,5191.0
34,admin.,single,university.degree,no,no,no,561,telephone,jul,tue,4,999,0,1.4,93.918,-42.7,4.961,5228.1
57,admin.,married,university.degree,no,no,no,5137,cellular,nov,fri,3,999,0,-0.1,93.2,-42.0,4.021,5195.8
32,services,married,high.school,no,yes,no,7185,telephone,jun,tue,1,999,0,1.4,94.465,-41.8,4.864,5228.1
57,blue-collar,married,basic.9y,unknown,no,no,31060,cellular,jul,fri,1,999,0,1.4,93.918,-42.7,4.957,5228.1
53,management,married,basic.4y,no,yes,no,27964,telephone,may,fri,1,999,0,1.1,93.994,-36.4,4.855,5191.0
30,admin.,married,university.degree,no,no,no,7769,cellular,aug,tue,2,999,0,1.4,93.444,-36.1,4.963,5228.1
37,services,divorced,high.school,unknown,yes,yes,10489,cellular,apr,mon,1,999,1,-1.8,93.075,-47.1,1.405,5099.1
38,admin.,married,university.degree,no,no,no,28744,cellular,aug,thu,2,999,0,1.4,93.444,-36.1,4.968,5228.1
30,entrepreneur,married,university.degree,no,no,no,9011,telephone,oct,fri,1,999,0,-0.1,93.798,-40.4,5.045,5195.8
36,entrepreneur,married,university.degree,no,no,no,33422,telephone,may,mon,4,999,0,-1.8,92.893,-46.2,1.354,5099.1
37,services,married,high.school,no,no,no,27403,cellular,apr,fri,2,1,1,-1.8,93.075,-47.1,1.405,5099.1
36,admin.,married,university.degree,no,yes,yes,9236,telephone,jun,fri,2,999,0,1.4,94.465,-41.8,4.959,5228.1
47,management,married,university.degree,no,yes,no,24196,cellular,may,thu,6,999,0,-1.8,92.893,-46.2,1.327,5099.1
52,services,married,high.school,unknown,no,no,31012,cellular,aug,mon,2,999,0,1.4,93.444,-36.1,4.965,5228.1
42,management,married,unknown,unknown,no,no,18059,telephone,may,tue,3,999,0,1.1,93.994,-36.4,4.857,5191.0
64,admin.,married,high.school,no,no,no,19348,cellular,jul,thu,1,999,0,-1.7,94.215,-40.3,0.884,4991.6
33,self-employed,single,university.degree,no,unknown,unknown,22133,telephone,jun,fri,5,999,0,1.4,94.465,-41.8,4.959,5228.1
59,blue-collar,married,basic.9y,unknown,yes,no,26991,cellular,jul,mon,4,999,0,1.4,93.918,-42.7,4.96,5228.1
30,admin.,married,university.degree,no,yes,no,5970,cellular,apr,tue,1,999,0,-1.8,93.075,-47.1,1.423,5099.1
37,services,married,high.school,no,no,no,23897,telephone,may,thu,3,999,0,1.1,93.994,-36.4,4.86,5191.0
45,self-employed,single,basic.9y,no,yes,no,28056,cellular,apr,wed,1,999,0,-1.8,93.075,-47.1,1.405,5099.1
31,technician,single,unknown,no,yes,no,14756,cellular,aug,mon,2,9,3,-1.7,94.027,-38.3,0.898,4991.6
50,entrepreneur,married,university.degree,unknown,yes,no,23651,cellular,nov,mon,2,999,0,-0.1,93.2,-42.0,4.191,5195.8
55,admin.,divorced,unknown,unknown,no,no,10115,cellular,may,mon,2,999,0,-1.8,92.893,-46.2,1.244,5099.1
44,blue-collar,married,basic.6y,no,yes,no,29873,cellular,may,thu,9,999,0,-1.8,92.893,-46.2,1.266,5099.1
25,technician,single,basic.9y,no,yes,no,33935,cellular,may,fri,4,999,0,-1.8,92.893,-46.2,1.25,5099.1
38,services,married,high.school,unknown,no,no,14781,telephone,jul,wed,1,999,0,1.4,93.918,-42.7,4.962,5228.1
30,blue-collar,married,basic.9y,no,no,no,18027,telephone,jun,thu,29,999,0,1.4,94.465,-41.8,4.8660000000000005,5228.1
35,technician,married,basic.6y,no,yes,yes,38181,telephone,jun,thu,1,999,0,1.4,94.465,-41.8,4.958,5228.1
64,housemaid,married,basic.4y,no,no,no,40119,cellular,dec,thu,1,999,0,-3.0,92.713,-33.0,0.7140000000000001,5023.5
50,housemaid,married,basic.4y,no,no,no,19917,cellular,nov,tue,2,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8
51,management,married,basic.4y,no,no,no,27051,telephone,may,wed,1,999,0,1.1,93.994,-36.4,4.859,5191.0
52,management,married,high.school,unknown,yes,no,10336,telephone,may,fri,4,999,0,1.1,93.994,-36.4,4.855,5191.0
34,admin.,single,high.school,no,no,no,16112,cellular,may,fri,9,999,0,-1.8,92.893,-46.2,1.25,5099.1
51,admin.,divorced,high.school,unknown,no,no,30888,telephone,jun,wed,5,999,0,1.4,94.465,-41.8,4.959,5228.1
53,blue-collar,married,basic.9y,no,no,no,27731,telephone,may,thu,2,999,1,-1.8,92.893,-46.2,1.327,5099.1
35,admin.,married,high.school,no,yes,no,9125,cellular,jul,wed,2,15,1,-1.7,94.215,-40.3,0.802,4991.6
33,admin.,single,university.degree,no,yes,no,3573,telephone,aug,thu,2,999,0,1.4,93.444,-36.1,4.962,5228.1
30,blue-collar,married,basic.6y,no,no,no,902,telephone,jun,tue,1,999,0,1.4,94.465,-41.8,4.864,5228.1
31,entrepreneur,single,university.degree,no,yes,no,18566,cellular,aug,fri,3,999,0,-2.9,92.201,-31.4,0.8690000000000001,5076.2
28,admin.,married,university.degree,no,yes,no,18578,cellular,jun,thu,1,999,1,-2.9,92.963,-40.8,1.26,5076.2
31,admin.,single,university.degree,no,no,no,40979,cellular,mar,thu,2,999,0,-1.8,93.369,-34.8,0.65,5008.7
47,services,married,high.school,unknown,no,no,23688,cellular,may,wed,1,999,0,-1.8,92.893,-46.2,1.334,5099.1
39,services,married,high.school,no,yes,yes,15530,cellular,nov,mon,3,999,0,-0.1,93.2,-42.0,4.191,5195.8
38,blue-collar,married,basic.9y,no,yes,no,501,cellular,nov,tue,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8
80,retired,divorced,basic.4y,no,yes,yes,36174,cellular,apr,wed,2,999,0,-1.8,93.749,-34.6,0.642,5008.7
37,blue-collar,single,high.school,no,yes,yes,850,telephone,may,wed,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0
49,technician,married,high.school,unknown,no,no,12631,cellular,may,mon,4,999,1,-1.8,92.893,-46.2,1.244,5099.1
51,admin.,married,basic.9y,unknown,yes,no,9123,cellular,jul,wed,2,999,0,1.4,93.918,-42.7,4.963,5228.1
42,technician,married,university.degree,no,no,no,20904,cellular,aug,fri,1,999,0,1.4,93.444,-36.1,4.966,5228.1
