age,job,marital,education,default,housing,loan,id
54,technician,divorced,basic.9y,no,yes,no,30239
39,technician,married,high.school,no,no,no,29183
57,services,married,high.school,no,yes,no,39358
35,admin.,single,university.degree,no,no,no,36365
54,management,divorced,professional.course,no,no,no,13285
39,technician,married,university.degree,no,no,yes,4518
41,management,married,basic.6y,unknown,no,no,5842
31,technician,single,professional.course,no,yes,no,19377
58,blue-collar,married,basic.4y,no,no,yes,31316
46,blue-collar,single,basic.4y,no,no,no,6376
44,services,married,high.school,no,no,no,3186
36,admin.,single,university.degree,no,no,no,37489
28,blue-collar,married,basic.9y,no,no,yes,19229
48,blue-collar,married,basic.9y,unknown,no,no,44
32,technician,divorced,professional.course,no,yes,no,9101
60,admin.,married,unknown,no,no,no,3132
41,services,married,high.school,no,yes,no,25734
38,technician,married,professional.course,unknown,yes,no,4347
34,technician,married,university.degree,no,yes,no,33019
35,management,married,university.degree,no,no,no,1337
22,student,single,basic.9y,no,no,no,35592
65,retired,married,university.degree,no,no,no,16314
28,technician,married,basic.9y,no,yes,no,13415
29,admin.,single,university.degree,no,no,no,12029
45,blue-collar,married,basic.9y,unknown,no,no,40488
42,housemaid,married,basic.9y,no,yes,no,38709
53,admin.,married,high.school,no,yes,no,671
41,blue-collar,married,basic.6y,unknown,yes,no,38878
32,technician,divorced,professional.course,no,yes,no,3181
31,technician,single,professional.course,no,yes,no,31100
53,blue-collar,single,basic.4y,no,no,no,14571
50,admin.,married,high.school,no,no,no,23485
51,technician,married,professional.course,no,yes,no,27262
58,unknown,married,basic.4y,no,no,yes,40245
46,management,married,basic.9y,no,yes,no,13716
34,admin.,married,university.degree,no,yes,no,24592
47,admin.,married,high.school,no,yes,no,15945
31,blue-collar,single,high.school,no,no,no,32142
49,admin.,unknown,university.degree,no,no,no,30011
60,retired,married,university.degree,no,no,no,32131
39,management,married,university.degree,no,yes,no,34387
28,technician,single,university.degree,unknown,no,no,23809
26,blue-collar,married,basic.4y,no,yes,no,23011
36,admin.,married,university.degree,no,yes,no,21828
23,admin.,single,university.degree,no,yes,no,10011
52,management,divorced,university.degree,no,yes,no,31759
41,technician,married,professional.course,no,no,no,34059
33,blue-collar,married,basic.4y,no,no,no,3001
39,admin.,single,unknown,no,no,no,16565
34,admin.,single,high.school,no,yes,no,12698
58,retired,married,university.degree,no,no,no,3295
52,services,married,basic.6y,no,yes,no,4854
30,admin.,married,university.degree,no,unknown,unknown,24721
29,admin.,single,basic.9y,unknown,no,no,25664
32,unemployed,single,high.school,unknown,yes,yes,18510
26,blue-collar,single,basic.6y,unknown,yes,no,4563
40,entrepreneur,married,basic.9y,no,yes,no,23590
38,blue-collar,married,basic.9y,unknown,no,no,6894
78,retired,divorced,basic.4y,no,yes,no,22252
51,services,married,high.school,no,yes,no,31483
49,admin.,divorced,high.school,no,yes,no,7979
51,technician,married,professional.course,no,no,no,7172
42,technician,married,basic.9y,no,no,no,9356
26,entrepreneur,married,professional.course,no,yes,no,32398
41,services,married,basic.6y,unknown,yes,no,11703
37,admin.,married,high.school,no,yes,no,22289
47,blue-collar,married,basic.9y,unknown,no,no,36899
54,blue-collar,single,unknown,no,yes,no,3476
42,admin.,divorced,professional.course,no,no,no,26429
44,blue-collar,married,basic.6y,no,yes,yes,39157
22,services,single,high.school,no,no,no,38482
29,admin.,single,high.school,no,yes,yes,7598
34,management,married,unknown,no,yes,no,2483
46,admin.,single,university.degree,no,yes,no,11924
54,housemaid,married,high.school,no,no,no,21559
38,blue-collar,single,high.school,unknown,yes,no,14109
47,unknown,married,unknown,no,yes,no,7794
48,entrepreneur,married,professional.course,no,no,no,28942
34,housemaid,married,unknown,no,yes,no,11507
39,blue-collar,married,basic.4y,unknown,yes,yes,1597
20,blue-collar,single,basic.9y,unknown,yes,no,29220
32,services,single,university.degree,no,yes,no,3939
58,self-employed,divorced,university.degree,no,yes,no,34129
30,entrepreneur,single,university.degree,no,no,no,6978
36,services,single,basic.6y,unknown,yes,no,1648
32,entrepreneur,married,university.degree,no,yes,no,19298
31,technician,single,high.school,no,yes,no,21855
30,services,married,high.school,no,no,no,37471
33,entrepreneur,married,basic.9y,unknown,yes,yes,22921
32,technician,single,university.degree,no,yes,no,38219
53,blue-collar,married,basic.4y,unknown,yes,no,23674
57,retired,married,basic.4y,no,yes,no,24733
33,management,single,high.school,no,no,no,21761
30,admin.,single,university.degree,no,no,no,30797
26,admin.,married,high.school,no,yes,no,36812
32,admin.,married,professional.course,no,no,yes,6641
43,admin.,single,high.school,no,no,no,3815
45,management,married,university.degree,no,yes,yes,27181
27,admin.,single,university.degree,no,no,no,15876
35,technician,married,professional.course,no,no,no,14329
37,management,single,university.degree,no,yes,no,33256
58,retired,married,basic.4y,unknown,no,no,10272
36,unemployed,single,basic.9y,no,yes,no,1961
57,admin.,single,basic.9y,no,yes,no,3022
27,blue-collar,married,basic.9y,no,no,yes,24460
30,technician,divorced,university.degree,no,no,no,9051
24,technician,single,basic.9y,no,no,no,30318
33,admin.,married,university.degree,no,no,no,26801
49,blue-collar,married,basic.9y,no,no,no,36219
32,admin.,married,university.degree,no,yes,no,33867
72,retired,married,basic.4y,no,unknown,unknown,6337
34,technician,married,professional.course,no,yes,no,10971
41,technician,divorced,basic.4y,no,yes,no,4839
31,services,single,high.school,no,yes,no,38176
51,blue-collar,married,basic.9y,unknown,yes,no,14378
35,management,married,university.degree,no,yes,no,3028
53,blue-collar,married,basic.4y,unknown,unknown,unknown,39926
44,blue-collar,married,basic.6y,no,no,no,21011
49,retired,married,high.school,no,yes,no,35389
46,blue-collar,married,basic.9y,unknown,no,no,24940
38,self-employed,single,unknown,no,yes,no,25320
49,services,married,high.school,no,no,no,9091
29,admin.,single,high.school,unknown,no,no,9092
26,self-employed,single,university.degree,no,yes,no,8022
41,blue-collar,married,basic.9y,unknown,no,no,30452
22,technician,single,university.degree,no,no,no,38288
73,retired,married,unknown,no,yes,no,34064
27,admin.,single,high.school,no,yes,no,39226
30,student,single,university.degree,no,yes,no,40472
36,blue-collar,married,basic.9y,no,yes,no,14831
46,blue-collar,married,basic.4y,no,no,no,41023
38,entrepreneur,married,university.degree,no,no,no,36813
27,admin.,married,high.school,no,yes,no,7889
36,admin.,married,university.degree,no,yes,no,31403
33,technician,single,professional.course,no,yes,no,37992
39,self-employed,married,basic.4y,unknown,yes,no,21253
35,unemployed,divorced,basic.9y,no,no,no,176
23,student,single,high.school,no,no,no,18835
35,services,married,high.school,unknown,no,no,4482
41,blue-collar,married,basic.4y,unknown,yes,yes,16711
38,technician,single,professional.course,no,no,no,10538
25,admin.,married,unknown,no,no,no,3485
51,management,married,university.degree,no,no,yes,22196
32,admin.,single,university.degree,no,no,no,17558
41,management,married,university.degree,no,no,no,14641
59,unknown,married,unknown,unknown,no,no,23483
28,management,married,high.school,unknown,no,no,19644
33,admin.,divorced,university.degree,no,no,no,14553
33,management,single,university.degree,no,yes,yes,28828
42,admin.,single,university.degree,unknown,no,no,36032
32,technician,married,professional.course,no,no,no,14104
51,entrepreneur,married,university.degree,no,no,no,30274
29,admin.,single,high.school,no,no,yes,31809
44,entrepreneur,married,high.school,no,yes,no,11956
37,blue-collar,married,basic.6y,no,yes,yes,9097
26,technician,single,university.degree,no,yes,yes,10292
50,blue-collar,married,unknown,unknown,yes,no,34967
32,technician,single,university.degree,no,no,no,3018
43,management,married,university.degree,no,yes,no,31830
33,technician,married,professional.course,no,no,no,13228
29,services,single,high.school,no,no,no,21613
54,housemaid,divorced,basic.4y,unknown,yes,no,17578
35,admin.,single,university.degree,no,no,yes,24988
48,admin.,married,high.school,no,no,yes,7984
59,admin.,married,high.school,no,yes,no,10145
25,admin.,single,high.school,no,no,no,24534
27,services,married,university.degree,no,yes,no,17858
48,blue-collar,married,basic.9y,no,yes,no,19321
41,technician,married,professional.course,no,no,no,16490
34,management,married,university.degree,no,no,no,34065
48,admin.,divorced,unknown,no,no,no,38807
35,unknown,married,basic.9y,no,no,no,4936
63,retired,married,high.school,no,no,no,19410
38,admin.,married,university.degree,no,no,no,8474
26,technician,married,high.school,no,no,no,12832
36,entrepreneur,married,basic.9y,no,yes,no,3561
29,blue-collar,single,unknown,no,no,no,1614
30,blue-collar,single,high.school,no,yes,yes,23854
25,housemaid,single,basic.9y,no,no,no,38216
40,admin.,single,high.school,no,no,no,27625
40,blue-collar,single,basic.9y,no,yes,yes,7489
41,services,single,high.school,unknown,yes,no,37598
44,blue-collar,married,basic.9y,unknown,yes,no,35578
33,admin.,married,university.degree,no,yes,no,6588
47,management,divorced,university.degree,no,yes,no,31861
48,technician,divorced,professional.course,no,no,no,15208
81,retired,married,professional.course,no,no,no,40778
24,services,single,high.school,no,yes,no,21591
36,unemployed,single,university.degree,no,yes,no,22934
28,blue-collar,single,basic.9y,no,unknown,unknown,7410
31,technician,single,professional.course,no,unknown,unknown,40593
28,services,single,high.school,no,no,no,39045
37,admin.,married,high.school,no,yes,yes,2281
33,self-employed,married,basic.9y,no,yes,no,32540
30,admin.,single,university.degree,no,yes,no,6953
33,technician,married,university.degree,no,no,no,21386
42,admin.,married,university.degree,no,unknown,unknown,17282
32,admin.,married,high.school,no,no,no,29440
39,self-employed,married,university.degree,no,yes,no,22601
46,technician,married,university.degree,no,yes,no,23919
39,blue-collar,married,basic.6y,no,yes,no,39849
28,admin.,single,unknown,no,yes,no,25841
29,admin.,single,university.degree,no,yes,no,28327
52,blue-collar,married,basic.4y,no,no,no,33085
31,management,married,high.school,no,yes,no,41145
28,technician,married,basic.9y,no,yes,no,13617
50,technician,married,university.degree,no,no,no,33103
33,technician,married,university.degree,no,yes,no,22889
49,admin.,single,university.degree,no,yes,no,33266
39,technician,single,professional.course,no,no,no,32329
40,admin.,divorced,high.school,no,yes,no,20448
32,admin.,married,university.degree,no,no,yes,28932
40,blue-collar,married,basic.9y,no,no,no,39019
30,blue-collar,single,high.school,no,unknown,unknown,1537
40,blue-collar,married,unknown,unknown,no,no,25715
40,blue-collar,married,basic.4y,unknown,yes,no,36933
34,admin.,single,basic.6y,no,no,no,11214
38,blue-collar,married,basic.6y,no,unknown,unknown,4997
31,technician,divorced,high.school,no,no,no,15824
54,management,married,university.degree,no,no,no,38228
34,admin.,single,high.school,no,yes,no,23375
59,blue-collar,married,basic.9y,no,no,no,8975
24,services,single,high.school,no,yes,yes,37816
39,admin.,single,high.school,no,yes,yes,40035
73,retired,married,university.degree,no,no,yes,39265
37,admin.,married,university.degree,no,no,no,34975
60,admin.,married,basic.9y,no,no,no,20335
31,technician,single,professional.course,no,no,no,23816
41,admin.,divorced,high.school,no,yes,no,13217
35,unemployed,married,university.degree,no,yes,no,27669
35,blue-collar,married,basic.9y,unknown,no,no,5043
36,unemployed,married,basic.9y,no,no,no,24783
42,blue-collar,married,basic.4y,no,no,no,1583
66,management,married,university.degree,no,no,no,2415
52,admin.,divorced,university.degree,no,no,no,21670
25,unemployed,single,university.degree,no,yes,no,12245
67,retired,married,unknown,no,no,no,29067
34,management,single,university.degree,no,no,no,18602
32,admin.,married,university.degree,unknown,no,yes,37088
41,technician,married,professional.course,no,yes,no,37961
46,blue-collar,single,basic.6y,unknown,yes,yes,6381
41,management,married,high.school,unknown,yes,no,9010
60,retired,married,high.school,no,no,no,10566
45,technician,married,high.school,no,yes,no,4213
52,admin.,divorced,basic.6y,no,yes,no,17922
28,technician,single,university.degree,no,yes,no,12065
36,blue-collar,single,basic.9y,no,no,no,4080
36,management,married,university.degree,no,no,no,39857
56,retired,married,basic.4y,unknown,yes,yes,29464
31,technician,single,university.degree,no,no,no,7696
41,blue-collar,married,basic.6y,no,no,no,33981
40,admin.,married,high.school,no,yes,no,25833
73,retired,married,basic.4y,no,yes,no,1210
47,blue-collar,married,basic.9y,no,yes,no,771
50,admin.,divorced,high.school,no,yes,no,1345
28,technician,single,university.degree,no,no,no,2742
56,admin.,married,unknown,unknown,no,no,8568
33,admin.,married,university.degree,no,no,no,39793
42,services,married,high.school,unknown,yes,no,27434
55,technician,divorced,professional.course,unknown,yes,no,11756
27,blue-collar,married,basic.4y,no,yes,no,29271
41,admin.,married,basic.9y,unknown,no,no,26462
30,services,married,high.school,no,no,no,27140
35,admin.,single,university.degree,no,yes,no,37558
29,admin.,single,university.degree,no,yes,yes,37997
28,technician,single,university.degree,no,yes,no,836
36,entrepreneur,married,university.degree,no,yes,no,26644
72,retired,divorced,university.degree,no,no,no,12264
47,housemaid,single,professional.course,no,yes,no,13089
54,management,married,university.degree,no,no,no,9241
47,blue-collar,married,basic.4y,no,yes,no,13874
56,technician,divorced,professional.course,no,no,no,17094
33,technician,married,professional.course,no,yes,no,31716
30,entrepreneur,married,university.degree,no,no,no,26460
36,admin.,divorced,high.school,no,no,no,648
23,technician,single,high.school,no,yes,no,27272
34,management,married,university.degree,unknown,yes,no,24819
32,blue-collar,married,basic.9y,unknown,yes,no,34365
40,blue-collar,single,basic.4y,no,yes,no,1291
39,technician,single,professional.course,no,no,no,25773
53,blue-collar,divorced,basic.4y,no,yes,no,19145
29,services,divorced,high.school,no,yes,no,10497
62,retired,married,professional.course,no,yes,no,11906
56,retired,married,professional.course,no,no,no,8764
36,services,married,basic.6y,no,no,no,41053
49,admin.,married,high.school,no,no,no,9103
57,blue-collar,married,professional.course,unknown,unknown,unknown,3778
43,admin.,single,university.degree,no,yes,no,22830
52,blue-collar,married,basic.9y,no,yes,no,3950
31,blue-collar,married,basic.9y,no,yes,no,13529
32,services,married,high.school,no,yes,yes,15144
35,admin.,single,university.degree,no,yes,no,5920
46,admin.,married,high.school,no,yes,no,27110
38,technician,divorced,high.school,no,yes,no,20502
49,blue-collar,married,professional.course,no,no,no,16544
38,admin.,married,university.degree,no,yes,no,30010
35,technician,married,university.degree,no,yes,no,25967
30,student,single,university.degree,no,yes,no,21268
32,admin.,single,university.degree,no,no,no,1626
57,unknown,married,basic.6y,no,no,no,15533
55,blue-collar,married,basic.9y,unknown,yes,no,25499
54,blue-collar,married,basic.4y,no,yes,yes,18719
49,housemaid,married,basic.4y,no,no,no,11491
56,services,single,high.school,no,no,yes,13744
30,unknown,divorced,university.degree,no,no,yes,4272
49,blue-collar,married,unknown,no,no,no,5909
36,technician,married,professional.course,no,no,no,13058
27,admin.,single,university.degree,no,yes,yes,15751
30,unemployed,single,basic.4y,unknown,no,yes,9166
52,technician,divorced,university.degree,unknown,no,no,25264
52,entrepreneur,divorced,university.degree,unknown,yes,no,8517
45,technician,divorced,university.degree,no,yes,no,26563
45,technician,married,high.school,no,yes,yes,18568
52,management,divorced,high.school,no,unknown,unknown,19102
41,entrepreneur,married,basic.4y,no,no,no,1440
51,admin.,married,high.school,no,no,no,15387
42,technician,married,university.degree,no,yes,no,30416
43,blue-collar,married,basic.6y,unknown,yes,no,29581
28,blue-collar,single,high.school,no,yes,no,30025
39,technician,single,professional.course,no,no,no,6183
48,blue-collar,married,basic.4y,no,yes,no,29614
47,blue-collar,married,unknown,unknown,no,yes,8552
34,housemaid,single,university.degree,no,yes,no,15483
50,admin.,single,university.degree,no,yes,yes,22300
36,technician,married,professional.course,no,no,no,40705
40,admin.,single,high.school,no,yes,no,8766
34,blue-collar,married,basic.9y,unknown,no,no,37145
41,blue-collar,married,basic.9y,unknown,no,no,38541
27,housemaid,married,basic.9y,unknown,yes,no,38582
32,blue-collar,married,basic.4y,no,yes,no,29737
39,blue-collar,married,basic.9y,unknown,no,no,22273
30,blue-collar,married,basic.9y,no,no,no,39957
19,student,single,basic.9y,no,yes,no,41061
58,retired,married,basic.4y,unknown,no,no,32397
29,admin.,single,university.degree,no,yes,no,11663
40,admin.,married,university.degree,no,no,no,12098
44,admin.,divorced,high.school,no,yes,yes,39217
53,admin.,married,university.degree,unknown,yes,no,2368
47,technician,married,professional.course,no,yes,no,4572
45,technician,single,professional.course,no,no,no,23628
31,entrepreneur,married,basic.9y,no,no,no,5765
39,technician,divorced,high.school,no,yes,yes,26565
44,entrepreneur,married,high.school,no,yes,no,28572
30,technician,married,basic.6y,no,no,no,5041
22,blue-collar,single,basic.9y,no,yes,yes,33215
32,blue-collar,divorced,basic.4y,unknown,no,no,33762
44,blue-collar,married,basic.9y,unknown,yes,no,3050
46,blue-collar,married,unknown,unknown,no,no,35043
34,admin.,single,university.degree,no,no,no,35825
45,blue-collar,married,basic.9y,unknown,yes,no,19389
51,management,divorced,university.degree,no,yes,no,18515
30,admin.,single,university.degree,no,no,no,9824
25,services,single,high.school,no,no,no,31045
38,entrepreneur,married,basic.9y,no,yes,no,31673
54,technician,divorced,university.degree,no,no,no,11728
52,technician,married,professional.course,no,no,yes,36912
33,unemployed,married,university.degree,no,yes,yes,37932
40,management,married,basic.6y,no,yes,no,4712
32,blue-collar,married,basic.9y,no,yes,no,19419
26,admin.,single,university.degree,no,yes,no,37234
43,admin.,married,unknown,no,yes,no,2784
42,unemployed,married,unknown,no,yes,no,18151
45,services,divorced,high.school,unknown,no,no,27724
34,unemployed,married,basic.9y,no,no,no,4368
30,technician,single,high.school,no,yes,no,15917
36,unemployed,married,basic.9y,no,yes,no,40679
33,technician,married,university.degree,no,yes,no,37503
30,student,unknown,basic.9y,no,no,no,35070
34,technician,single,professional.course,no,yes,no,36500
38,blue-collar,single,high.school,no,no,no,24523
57,technician,married,professional.course,unknown,no,yes,39594
34,blue-collar,married,basic.9y,no,no,no,4841
31,admin.,single,university.degree,no,yes,no,23413
39,blue-collar,divorced,basic.9y,unknown,no,no,14108
35,management,single,high.school,no,yes,yes,14297
26,admin.,married,high.school,no,yes,yes,39377
37,admin.,single,university.degree,no,no,yes,1026
51,services,married,basic.6y,no,yes,no,3386
41,admin.,married,high.school,no,yes,yes,25033
27,self-employed,single,university.degree,no,no,no,22467
39,blue-collar,married,basic.6y,no,no,no,4601
46,blue-collar,married,basic.4y,no,yes,yes,9566
39,technician,single,professional.course,unknown,no,no,15570
42,services,divorced,high.school,unknown,yes,no,37261
35,admin.,single,university.degree,no,no,no,29748
35,technician,married,university.degree,no,yes,no,19770
32,management,married,high.school,no,no,no,1850
34,self-employed,married,illiterate,no,yes,no,19088
52,unknown,married,basic.4y,no,yes,no,19391
31,admin.,married,university.degree,no,no,no,6682
30,blue-collar,single,basic.9y,no,no,no,4022
54,admin.,married,university.degree,no,yes,yes,33707
38,technician,divorced,high.school,unknown,no,no,16365
56,technician,married,unknown,unknown,yes,yes,16190
33,student,divorced,professional.course,no,no,no,39317
37,technician,single,high.school,unknown,no,no,31754
37,unemployed,married,university.degree,no,yes,no,18825
33,blue-collar,single,professional.course,no,no,no,6613
32,technician,single,professional.course,no,yes,no,27773
35,blue-collar,single,professional.course,no,yes,no,11994
33,admin.,married,high.school,no,yes,no,25021
32,blue-collar,married,basic.9y,no,no,no,38082
30,admin.,single,university.degree,no,no,no,13169
26,admin.,single,high.school,no,yes,no,14416
52,admin.,divorced,unknown,no,no,no,15096
47,self-employed,married,university.degree,no,no,no,12931
45,technician,single,university.degree,no,no,no,39424
27,entrepreneur,married,university.degree,no,yes,no,32128
54,blue-collar,married,basic.4y,unknown,no,no,11295
58,retired,married,high.school,no,yes,no,1514
39,technician,single,professional.course,unknown,yes,no,2893
29,technician,married,professional.course,no,yes,no,34126
49,technician,divorced,professional.course,no,yes,no,212
31,admin.,single,high.school,no,yes,no,27183
49,services,divorced,basic.9y,no,yes,no,29666
48,admin.,single,university.degree,no,yes,no,28238
36,admin.,married,professional.course,no,no,no,15412
35,self-employed,married,university.degree,no,yes,no,25362
49,housemaid,married,basic.4y,unknown,yes,no,24688
24,student,single,unknown,no,yes,no,12672
48,blue-collar,married,basic.4y,no,no,yes,751
30,admin.,married,university.degree,no,no,no,19993
30,technician,married,professional.course,no,yes,no,8652
32,admin.,single,university.degree,no,no,no,25901
35,admin.,single,basic.6y,no,yes,yes,6865
34,technician,divorced,professional.course,no,no,no,6982
57,management,divorced,professional.course,no,yes,no,1127
41,services,single,high.school,unknown,unknown,unknown,36483
41,technician,married,professional.course,no,no,no,6129
52,services,divorced,high.school,unknown,yes,no,20847
44,technician,married,professional.course,no,no,no,14157
48,admin.,divorced,professional.course,no,yes,no,204
30,blue-collar,single,basic.6y,no,yes,no,25237
22,technician,single,professional.course,no,no,no,14516
35,technician,married,professional.course,no,no,no,24035
48,admin.,married,university.degree,no,yes,no,27123
31,admin.,married,university.degree,no,yes,yes,13682
28,management,married,university.degree,no,yes,no,4733
27,admin.,married,high.school,no,no,no,22571
35,services,divorced,professional.course,unknown,no,no,28856
28,blue-collar,single,basic.9y,no,yes,no,6288
24,unknown,single,university.degree,no,yes,yes,35163
36,technician,married,professional.course,no,no,no,3531
32,admin.,single,university.degree,no,no,no,38922
26,technician,single,professional.course,no,yes,no,38080
33,services,single,high.school,no,yes,no,33925
38,admin.,single,high.school,no,yes,no,13223
52,services,married,high.school,unknown,unknown,unknown,33902
34,management,married,basic.9y,no,no,yes,5756
52,admin.,married,university.degree,no,yes,yes,4223
59,self-employed,single,university.degree,no,yes,no,68
29,admin.,married,high.school,no,yes,no,39474
32,technician,married,professional.course,no,yes,no,34996
50,services,married,high.school,no,yes,no,815
51,admin.,married,high.school,no,yes,no,7181
30,blue-collar,married,basic.9y,unknown,no,no,39918
37,blue-collar,single,basic.9y,unknown,no,no,31194
27,technician,single,professional.course,no,yes,no,11631
50,technician,married,professional.course,unknown,no,no,24586
41,admin.,single,high.school,no,yes,yes,13964
33,admin.,married,university.degree,no,unknown,unknown,36068
42,admin.,married,high.school,no,no,no,24496
35,admin.,single,basic.9y,no,yes,no,26375
39,services,married,basic.9y,no,no,no,24090
33,housemaid,married,basic.4y,no,yes,no,8784
29,blue-collar,single,high.school,unknown,unknown,unknown,24437
31,admin.,single,high.school,no,yes,no,12263
34,admin.,single,university.degree,no,yes,no,27924
28,admin.,married,high.school,no,no,no,6820
39,admin.,single,university.degree,no,yes,no,19630
33,admin.,single,university.degree,no,yes,no,7048
28,services,married,basic.9y,no,no,no,36390
50,blue-collar,married,basic.4y,no,yes,yes,31967
26,admin.,single,university.degree,no,no,no,12688
33,blue-collar,married,basic.9y,no,yes,no,32301
58,retired,married,basic.4y,no,yes,no,26519
36,technician,divorced,professional.course,no,no,no,14361
40,admin.,divorced,university.degree,no,no,no,12639
38,technician,married,professional.course,no,yes,no,953
47,blue-collar,married,basic.4y,no,yes,no,12528
24,admin.,married,high.school,no,yes,no,41182
28,admin.,married,university.degree,no,yes,yes,36798
29,blue-collar,married,basic.9y,no,yes,no,28418
41,admin.,married,university.degree,no,no,no,31494
27,blue-collar,married,basic.9y,no,no,no,37683
44,technician,married,basic.6y,unknown,yes,no,36613
45,services,married,basic.9y,no,no,no,17061
41,management,married,basic.6y,no,no,no,5826
50,management,married,university.degree,unknown,yes,no,34208
33,technician,single,professional.course,no,yes,no,9077
32,services,single,high.school,no,no,yes,17712
53,retired,married,high.school,no,no,no,3380
34,technician,married,professional.course,no,yes,no,8930
31,blue-collar,divorced,basic.6y,no,yes,no,28705
50,retired,married,basic.4y,no,yes,no,20414
53,admin.,married,university.degree,no,no,no,24490
28,blue-collar,single,high.school,no,no,no,12716
46,entrepreneur,married,high.school,no,yes,no,22767
28,admin.,single,university.degree,no,yes,no,12512
32,technician,single,university.degree,no,yes,yes,713
40,management,married,university.degree,no,no,no,3615
41,technician,married,basic.9y,no,yes,no,30114
61,entrepreneur,married,university.degree,unknown,yes,no,20420
54,technician,married,university.degree,unknown,no,no,17276
34,admin.,married,high.school,no,yes,no,39125
53,blue-collar,divorced,basic.4y,no,no,no,30529
35,management,divorced,university.degree,no,no,no,1088
33,blue-collar,married,basic.6y,no,yes,no,21394
33,blue-collar,married,basic.9y,no,no,no,2077
24,admin.,single,university.degree,no,no,no,40109
45,admin.,married,high.school,unknown,yes,yes,23348
33,technician,married,professional.course,no,no,no,1556
37,student,divorced,university.degree,no,yes,yes,1201
59,management,married,university.degree,no,no,no,3254
39,self-employed,divorced,professional.course,no,yes,no,28248
52,services,married,unknown,unknown,no,no,38913
38,management,married,university.degree,no,no,no,22462
42,technician,divorced,basic.9y,no,no,no,33826
37,blue-collar,married,basic.9y,no,unknown,unknown,18597
49,services,divorced,high.school,no,yes,no,20032
30,blue-collar,married,basic.6y,no,yes,no,24554
25,self-employed,single,university.degree,no,no,no,31398
33,self-employed,single,university.degree,no,no,no,8141
26,self-employed,single,university.degree,no,no,no,20158
47,self-employed,married,university.degree,no,unknown,unknown,37713
40,entrepreneur,married,university.degree,no,yes,no,24359
46,admin.,married,basic.9y,unknown,no,no,27205
30,technician,single,university.degree,unknown,no,no,30932
54,services,single,basic.9y,no,no,yes,24155
42,blue-collar,married,basic.4y,no,no,no,16513
60,retired,married,professional.course,unknown,no,no,806
37,services,married,professional.course,unknown,no,no,16452
30,technician,married,professional.course,no,yes,no,14398
33,blue-collar,single,basic.9y,no,no,no,22810
34,admin.,married,university.degree,no,yes,no,25288
33,management,married,university.degree,no,yes,no,2993
42,blue-collar,married,basic.4y,unknown,no,no,28084
34,blue-collar,married,basic.9y,no,yes,no,15785
34,technician,married,university.degree,no,no,no,25095
38,technician,married,professional.course,no,yes,no,35828
35,technician,married,university.degree,no,yes,no,38798
