age,job,marital,education,default,housing,loan,id,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed
28,technician,single,university.degree,no,yes,yes,35064,cellular,may,thu,2,999,1,failure,-1.8,92.893,-46.2,0.01266,5099.1
48,admin.,married,university.degree,no,no,no,1371,cellular,dec,mon,2,999,0,nonexistent,-3.0,92.713,-33.0,0.007170000000000002,5023.5
48,management,married,university.degree,no,no,yes,3455,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,0.048660000000000016,5228.1
52,management,married,professional.course,no,no,no,30659,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,0.04855,5191.0
38,unemployed,married,basic.4y,unknown,yes,no,11824,telephone,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,0.04961,5228.1
48,admin.,single,university.degree,no,no,no,1999,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42.0,0.04191,5195.8
57,retired,single,university.degree,no,no,no,4337,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,0.013130000000000001,5099.1
43,entrepreneur,married,university.degree,no,yes,no,14449,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,0.0496,5228.1
36,blue-collar,married,basic.9y,no,yes,no,34939,cellular,jul,mon,5,999,0,nonexistent,1.4,93.918,-42.7,0.04962,5228.1
47,services,married,high.school,no,no,no,4675,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42.0,0.041530000000000004,5195.8
25,admin.,single,high.school,no,yes,yes,30679,cellular,may,fri,4,999,0,nonexistent,-1.8,92.893,-46.2,0.013130000000000001,5099.1
42,admin.,married,high.school,no,yes,no,17702,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,0.01344,5099.1
48,unemployed,divorced,basic.4y,no,no,yes,6844,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,0.0496,5228.1
33,blue-collar,married,basic.9y,no,yes,no,17561,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,0.04859,5191.0
80,retired,divorced,basic.4y,no,no,no,1998,cellular,oct,tue,1,999,0,nonexistent,-3.4,92.431,-26.9,0.007440000000000001,5017.5
30,technician,married,professional.course,unknown,yes,no,23232,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,0.04964,5228.1
52,admin.,married,basic.9y,no,no,no,25576,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,0.04963,5228.1
31,admin.,married,university.degree,no,no,no,9791,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,0.0412,5195.8
54,management,married,university.degree,unknown,no,no,23486,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,0.04963,5228.1
45,blue-collar,married,basic.4y,unknown,no,yes,31029,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,0.01344,5099.1
47,technician,divorced,high.school,no,yes,no,4434,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,0.04962,5228.1
54,blue-collar,single,unknown,no,no,no,32905,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,0.04962,5228.1
33,admin.,single,university.degree,no,no,no,10143,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,0.01244,5099.1
27,student,single,high.school,unknown,yes,no,14806,telephone,may,thu,9,999,0,nonexistent,1.1,93.994,-36.4,0.0486,5191.0
67,retired,married,basic.4y,no,yes,no,30291,cellular,nov,thu,1,999,0,nonexistent,-3.4,92.649,-30.1,0.007140000000000001,5017.5
28,blue-collar,single,professional.course,no,yes,no,13559,cellular,jul,thu,5,999,0,nonexistent,1.4,93.918,-42.7,0.04963,5228.1
41,services,married,high.school,no,yes,no,27069,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,0.04857,5191.0
31,unemployed,married,professional.course,no,yes,no,24029,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,0.013269999999999999,5099.1
48,technician,married,high.school,no,no,no,10734,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,0.04859,5191.0
37,blue-collar,married,professional.course,no,no,no,36002,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,0.04857,5191.0
51,housemaid,divorced,high.school,no,yes,no,28023,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,0.04962,5228.1
46,admin.,married,basic.9y,unknown,yes,no,35787,telephone,jun,wed,14,999,0,nonexistent,1.4,94.465,-41.8,0.04962,5228.1
20,student,single,unknown,no,no,no,25243,telephone,oct,tue,1,999,1,failure,-1.1,94.601,-49.5,0.00982,4963.6
32,services,married,high.school,no,yes,no,13250,cellular,nov,wed,1,5,1,success,-0.1,93.2,-42.0,0.0412,5195.8
26,admin.,single,high.school,no,no,yes,33697,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,0.04963,5228.1
30,blue-collar,married,basic.9y,no,yes,no,25831,telephone,jun,fri,14,999,0,nonexistent,1.4,94.465,-41.8,0.049589999999999995,5228.1
25,technician,single,professional.course,no,no,yes,13002,cellular,apr,mon,4,999,0,nonexistent,-1.8,93.075,-47.1,0.01466,5099.1
42,admin.,married,basic.9y,no,yes,no,22348,telephone,may,fri,8,999,0,nonexistent,1.1,93.994,-36.4,0.04855,5191.0
34,admin.,single,high.school,no,yes,no,39396,cellular,may,wed,1,11,1,success,-1.8,92.893,-46.2,0.013340000000000001,5099.1
36,management,married,university.degree,no,no,no,6384,cellular,apr,wed,2,999,0,nonexistent,-1.8,93.075,-47.1,0.01415,5099.1
23,services,single,high.school,no,yes,no,17621,cellular,may,fri,5,999,0,nonexistent,-1.8,92.893,-46.2,0.0125,5099.1
43,housemaid,married,basic.4y,no,no,yes,21084,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,0.04962,5228.1
48,entrepreneur,married,university.degree,unknown,yes,no,3990,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42.0,0.04191,5195.8
48,services,married,professional.course,no,yes,no,8137,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,0.04857,5191.0
32,admin.,single,university.degree,no,no,no,1005,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,0.04857,5191.0
41,blue-collar,married,basic.4y,no,no,no,14200,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,0.04958,5228.1
34,technician,married,high.school,no,yes,no,2628,cellular,may,mon,1,999,1,failure,-1.8,92.893,-46.2,0.012990000000000002,5099.1
53,admin.,married,university.degree,unknown,yes,no,15417,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,0.04961,5228.1
34,blue-collar,married,basic.9y,no,no,no,10068,telephone,jun,tue,1,999,0,nonexistent,-1.7,94.055,-39.8,0.007020000000000001,4991.6
27,management,single,university.degree,no,yes,no,14720,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,0.048639999999999996,5228.1
31,blue-collar,divorced,basic.9y,no,no,no,17582,cellular,jul,thu,3,999,0,nonexistent,1.4,93.918,-42.7,0.04958,5228.1
43,services,married,high.school,no,no,no,38263,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,0.04962,5228.1
46,admin.,married,basic.9y,unknown,no,yes,11432,telephone,jun,fri,4,999,0,nonexistent,1.4,94.465,-41.8,0.049589999999999995,5228.1
34,admin.,divorced,university.degree,no,no,no,30844,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,0.04965,5228.1
30,admin.,married,university.degree,no,yes,no,27622,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,0.04856,5191.0
39,management,single,high.school,unknown,no,no,34849,telephone,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,0.041530000000000004,5195.8
46,blue-collar,married,unknown,no,no,no,29167,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,0.01405,5099.1
46,blue-collar,married,basic.9y,no,no,yes,16906,telephone,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,0.04859,5191.0
41,blue-collar,married,basic.4y,unknown,no,no,24499,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,0.048580000000000005,5191.0
50,retired,divorced,basic.4y,unknown,yes,no,29551,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,0.04963,5228.1
58,self-employed,divorced,professional.course,no,yes,no,32326,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,0.04961,5228.1
47,services,married,high.school,no,no,yes,14509,cellular,may,fri,2,999,2,failure,-1.8,92.893,-46.2,0.013130000000000001,5099.1
38,services,divorced,basic.6y,no,unknown,unknown,21416,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,0.01291,5099.1
34,admin.,single,university.degree,no,no,yes,1721,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,0.04964,5228.1
35,self-employed,single,high.school,no,yes,no,18894,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,0.012809999999999998,5099.1
44,blue-collar,married,professional.course,unknown,no,no,14818,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42.0,0.041530000000000004,5195.8
34,blue-collar,married,basic.9y,no,yes,no,33533,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,0.012809999999999998,5099.1
30,services,single,unknown,no,no,yes,36919,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,0.04857,5191.0
39,technician,single,high.school,unknown,yes,no,10569,cellular,aug,mon,6,999,0,nonexistent,1.4,93.444,-36.1,0.04965,5228.1
34,services,married,high.school,no,no,no,8681,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,0.048580000000000005,5191.0
42,management,single,university.degree,no,unknown,unknown,5401,cellular,jun,mon,4,999,0,nonexistent,-2.9,92.963,-40.8,0.0126,5076.2
51,self-employed,married,basic.9y,no,yes,yes,13277,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,0.040760000000000005,5195.8
46,blue-collar,married,basic.9y,unknown,no,no,15597,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,0.04968,5228.1
36,admin.,married,university.degree,unknown,yes,no,33556,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,0.04968,5228.1
34,admin.,married,high.school,no,no,yes,8526,cellular,sep,wed,2,999,0,nonexistent,-1.1,94.199,-37.5,0.008759999999999999,4963.6
36,admin.,married,university.degree,no,yes,yes,17190,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,0.04965,5228.1
64,retired,married,university.degree,no,no,no,21025,cellular,aug,fri,1,999,1,failure,-2.9,92.201,-31.4,0.008490000000000001,5076.2
32,blue-collar,married,basic.9y,unknown,yes,yes,34917,cellular,may,mon,3,999,0,nonexistent,-1.8,92.893,-46.2,0.012990000000000002,5099.1
33,services,married,high.school,no,yes,yes,21944,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,0.040760000000000005,5195.8
38,management,married,university.degree,no,no,no,7170,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,0.04859,5191.0
30,unemployed,married,professional.course,no,unknown,unknown,30861,cellular,jul,thu,6,999,0,nonexistent,1.4,93.918,-42.7,0.04958,5228.1
36,blue-collar,married,high.school,unknown,yes,no,16491,cellular,jul,mon,5,999,0,nonexistent,1.4,93.918,-42.7,0.0496,5228.1
35,admin.,married,university.degree,no,no,no,1474,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,0.04967,5228.1
54,admin.,married,university.degree,no,yes,no,14878,cellular,jul,tue,2,999,1,failure,-2.9,92.469,-33.6,0.00908,5076.2
29,admin.,single,university.degree,no,yes,no,27709,cellular,nov,fri,2,999,1,failure,-0.1,93.2,-42.0,0.04021,5195.8
38,technician,married,university.degree,no,yes,no,25955,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,0.04966,5228.1
36,management,married,high.school,no,no,no,28181,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,0.048580000000000005,5191.0
54,admin.,married,basic.9y,no,no,no,22299,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42.0,0.04191,5195.8
45,blue-collar,single,basic.4y,no,yes,no,32661,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,0.012809999999999998,5099.1
45,services,divorced,high.school,unknown,yes,no,7386,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,0.048580000000000005,5191.0
25,admin.,single,high.school,no,no,no,13379,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,0.04963,5228.1
26,student,single,university.degree,no,yes,no,25301,cellular,apr,thu,4,999,0,nonexistent,-1.8,93.075,-47.1,0.0141,5099.1
47,admin.,married,high.school,unknown,yes,no,12946,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,0.04967,5228.1
27,admin.,single,university.degree,no,no,no,2905,cellular,oct,mon,1,999,0,nonexistent,-1.1,94.601,-49.5,0.00977,4963.6
35,admin.,married,university.degree,no,yes,yes,6190,cellular,aug,thu,1,999,2,failure,-1.7,94.027,-38.3,0.00899,4991.6
70,housemaid,divorced,basic.4y,no,no,no,29374,cellular,sep,tue,1,999,1,failure,-3.4,92.379,-29.8,0.0075,5017.5
38,admin.,single,university.degree,unknown,yes,no,18818,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,0.048639999999999996,5228.1
27,blue-collar,married,basic.9y,no,yes,no,8588,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,0.04855,5191.0
36,blue-collar,married,basic.9y,no,yes,yes,17392,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,0.04857,5191.0
34,unemployed,single,professional.course,no,no,no,4188,cellular,aug,fri,2,2,1,success,-2.9,92.201,-31.4,0.008490000000000001,5076.2
27,blue-collar,married,basic.4y,no,yes,no,19717,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,0.04962,5228.1
56,admin.,married,high.school,no,no,no,34238,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,0.0486,5191.0
28,blue-collar,married,basic.6y,no,no,no,11770,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,0.04856,5191.0
56,services,married,high.school,no,yes,no,36608,cellular,aug,tue,5,999,0,nonexistent,1.4,93.444,-36.1,0.04965,5228.1
32,technician,single,university.degree,no,yes,yes,11225,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,0.04965,5228.1
31,admin.,married,university.degree,no,yes,no,40158,cellular,nov,thu,3,999,0,nonexistent,-0.1,93.2,-42.0,0.040760000000000005,5195.8
33,blue-collar,married,basic.9y,no,no,no,24593,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,0.012809999999999998,5099.1
55,admin.,married,high.school,no,yes,yes,36980,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,0.04857,5191.0
37,blue-collar,married,basic.6y,no,yes,no,530,cellular,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,0.01405,5099.1
45,blue-collar,single,basic.4y,unknown,yes,yes,16172,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,0.04961,5228.1
52,entrepreneur,married,university.degree,unknown,yes,no,22726,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,0.04865,5228.1
36,management,divorced,university.degree,no,no,no,28280,telephone,jun,thu,12,999,0,nonexistent,1.4,94.465,-41.8,0.04961,5228.1
35,services,divorced,high.school,no,no,no,24227,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,0.04857,5191.0
46,housemaid,married,basic.4y,no,no,no,16393,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,0.04964,5228.1
73,retired,married,basic.4y,unknown,no,no,22988,cellular,aug,wed,1,999,0,nonexistent,-2.9,92.201,-31.4,0.00854,5076.2
45,blue-collar,married,basic.4y,no,no,no,36120,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,0.0486,5191.0
41,self-employed,married,basic.9y,no,no,no,4517,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,0.013269999999999999,5099.1
27,admin.,single,university.degree,no,no,no,37139,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,0.049589999999999995,5228.1
51,entrepreneur,divorced,university.degree,unknown,no,no,23239,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,0.04961,5228.1
57,management,married,professional.course,unknown,yes,no,33068,cellular,nov,thu,2,999,1,failure,-0.1,93.2,-42.0,0.040760000000000005,5195.8
54,management,divorced,university.degree,no,no,no,11367,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,0.04857,5191.0
33,blue-collar,married,basic.6y,no,no,no,380,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,0.04857,5191.0
26,services,divorced,basic.6y,no,no,yes,18936,telephone,may,mon,8,999,0,nonexistent,1.1,93.994,-36.4,0.04857,5191.0
39,admin.,married,high.school,no,yes,no,8163,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,0.014980000000000004,5099.1
47,management,married,university.degree,no,yes,no,6093,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,0.049589999999999995,5228.1
49,blue-collar,married,basic.6y,no,yes,no,2377,cellular,aug,tue,4,999,0,nonexistent,1.4,93.444,-36.1,0.04963,5228.1
55,admin.,married,high.school,no,yes,yes,9437,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,0.048580000000000005,5191.0
54,blue-collar,married,basic.4y,no,no,no,12352,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,0.0496,5228.1
54,admin.,married,university.degree,no,no,yes,30173,cellular,jul,tue,6,13,1,success,-2.9,92.469,-33.6,0.00908,5076.2
53,retired,married,basic.4y,unknown,yes,no,20017,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,0.04856,5191.0
51,management,married,high.school,no,no,no,21775,telephone,jun,wed,3,999,0,nonexistent,1.4,94.465,-41.8,0.04962,5228.1
35,technician,married,university.degree,no,yes,no,39770,telephone,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,0.04967,5228.1
59,blue-collar,married,basic.6y,unknown,yes,no,19558,cellular,jul,mon,7,999,0,nonexistent,1.4,93.918,-42.7,0.04962,5228.1
33,technician,single,university.degree,no,yes,yes,32973,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,0.04021,5195.8
31,blue-collar,married,basic.9y,unknown,yes,no,20680,telephone,jun,tue,3,999,0,nonexistent,1.4,94.465,-41.8,0.04961,5228.1
43,admin.,married,university.degree,no,yes,no,33182,cellular,aug,thu,10,999,0,nonexistent,1.4,93.444,-36.1,0.04962,5228.1
32,admin.,married,high.school,unknown,yes,no,37229,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,0.048580000000000005,5191.0
52,admin.,married,university.degree,no,yes,no,32567,cellular,aug,wed,1,999,0,nonexistent,-1.7,94.027,-38.3,0.009000000000000001,4991.6
47,blue-collar,divorced,basic.9y,unknown,yes,no,35939,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,0.04857,5191.0
42,technician,married,professional.course,no,yes,no,36852,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,0.04964,5228.1
44,admin.,single,high.school,no,yes,no,35124,telephone,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,0.0486,5191.0
35,self-employed,married,university.degree,no,yes,no,32872,telephone,jul,thu,12,999,0,nonexistent,1.4,93.918,-42.7,0.04968,5228.1
41,blue-collar,married,basic.4y,unknown,unknown,unknown,12705,cellular,may,tue,2,999,0,nonexistent,-1.8,92.893,-46.2,0.01344,5099.1
41,admin.,married,university.degree,unknown,yes,no,12123,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,0.04963,5228.1
33,blue-collar,married,basic.4y,no,no,no,1253,cellular,apr,fri,3,999,0,nonexistent,-1.8,93.075,-47.1,0.01405,5099.1
45,blue-collar,married,basic.9y,unknown,yes,no,3571,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,0.04857,5191.0
39,self-employed,married,university.degree,no,yes,yes,30959,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,0.04865,5228.1
35,blue-collar,married,basic.9y,unknown,no,no,39829,telephone,jun,tue,18,999,0,nonexistent,1.4,94.465,-41.8,0.048639999999999996,5228.1
35,services,divorced,university.degree,no,yes,no,7860,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,0.04961,5228.1
31,technician,single,high.school,no,no,no,13754,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,0.013340000000000001,5099.1
45,admin.,married,university.degree,no,no,no,12565,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,0.04968,5228.1
42,blue-collar,married,basic.9y,unknown,yes,no,6770,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,0.04968,5228.1
43,management,married,university.degree,no,yes,no,17989,telephone,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,0.048639999999999996,5191.0
36,blue-collar,married,basic.9y,no,yes,yes,2425,telephone,jun,fri,14,999,0,nonexistent,1.4,94.465,-41.8,0.049589999999999995,5228.1
38,admin.,single,unknown,no,yes,no,20190,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,0.013130000000000001,5099.1
43,blue-collar,married,basic.4y,unknown,no,no,7396,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,0.04855,5191.0
51,technician,divorced,professional.course,no,yes,no,40663,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,0.04968,5228.1
29,technician,married,university.degree,no,no,no,31406,cellular,apr,mon,3,999,1,failure,-1.8,93.749,-34.6,0.00645,5008.7
50,admin.,divorced,university.degree,no,yes,no,25966,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,0.04958,5228.1
32,blue-collar,married,basic.6y,no,no,no,3705,telephone,jul,mon,6,999,0,nonexistent,1.4,93.918,-42.7,0.0496,5228.1
36,blue-collar,single,basic.6y,no,no,no,3906,cellular,nov,tue,4,999,0,nonexistent,-1.1,94.767,-50.8,0.01046,4963.6
30,technician,married,professional.course,no,yes,no,39916,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,0.04968,5228.1
41,blue-collar,married,basic.4y,unknown,yes,no,8455,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,0.01405,5099.1
38,blue-collar,divorced,unknown,no,yes,no,14299,telephone,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,0.041530000000000004,5195.8
48,technician,married,university.degree,no,no,no,19506,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,0.041530000000000004,5195.8
36,admin.,single,high.school,no,yes,no,20239,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,0.01405,5099.1
49,management,married,university.degree,no,yes,no,25497,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,0.041530000000000004,5195.8
57,services,married,high.school,no,yes,yes,13939,cellular,may,mon,3,999,0,nonexistent,-1.8,92.893,-46.2,0.01244,5099.1
30,management,single,university.degree,no,no,yes,19105,telephone,jul,mon,11,999,0,nonexistent,1.4,93.918,-42.7,0.0496,5228.1
49,blue-collar,married,unknown,unknown,no,no,23840,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,0.04962,5228.1
