contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,id
telephone,jul,thu,306,4,999,0,nonexistent,39889
cellular,nov,wed,224,1,999,0,nonexistent,32533
telephone,jun,fri,190,1,999,0,nonexistent,10067
telephone,may,thu,161,3,999,0,nonexistent,12003
telephone,may,mon,85,2,999,0,nonexistent,30408
cellular,may,mon,261,1,999,0,nonexistent,33915
cellular,aug,thu,179,1,999,0,nonexistent,15419
cellular,nov,tue,143,2,999,1,failure,36733
telephone,may,fri,88,6,999,0,nonexistent,31177
telephone,may,mon,445,2,999,0,nonexistent,15274
cellular,apr,fri,57,2,999,0,nonexistent,27328
cellular,may,wed,57,1,999,0,nonexistent,35860
cellular,mar,tue,261,1,999,0,nonexistent,15420
cellular,may,wed,232,1,999,1,failure,22109
cellular,apr,wed,476,1,999,0,nonexistent,33079
cellular,aug,tue,385,3,999,0,nonexistent,14080
telephone,jul,tue,58,1,999,0,nonexistent,36948
cellular,aug,mon,55,1,999,2,failure,24148
telephone,jun,wed,221,5,999,0,nonexistent,36846
cellular,jul,thu,182,1,999,0,nonexistent,17073
telephone,jun,wed,216,1,999,0,nonexistent,18152
telephone,jun,fri,25,8,999,0,nonexistent,17426
cellular,nov,fri,213,2,999,0,nonexistent,5596
cellular,aug,tue,234,1,999,0,nonexistent,22287
cellular,apr,thu,430,1,999,0,nonexistent,31388
telephone,jun,thu,150,2,999,0,nonexistent,38180
telephone,may,fri,724,1,999,0,nonexistent,1425
cellular,aug,thu,358,1,999,0,nonexistent,30603
cellular,jul,wed,89,3,999,0,nonexistent,20009
cellular,mar,fri,544,3,999,0,nonexistent,10800
cellular,aug,thu,36,1,999,0,nonexistent,35101
telephone,may,tue,363,2,999,0,nonexistent,23211
cellular,may,wed,133,2,999,0,nonexistent,26973
cellular,jun,mon,67,1,999,1,failure,40156
telephone,may,mon,229,1,999,0,nonexistent,8924
cellular,aug,tue,22,27,999,0,nonexistent,8026
telephone,may,mon,164,1,999,0,nonexistent,10918
cellular,aug,mon,217,1,999,0,nonexistent,19698
cellular,aug,fri,107,1,999,0,nonexistent,25655
telephone,may,fri,405,5,999,0,nonexistent,36446
cellular,aug,fri,83,1,999,0,nonexistent,24568
cellular,nov,tue,78,1,999,0,nonexistent,39293
cellular,jul,thu,853,2,999,0,nonexistent,5167
cellular,oct,thu,120,1,999,0,nonexistent,32197
cellular,jul,thu,201,1,999,0,nonexistent,34113
telephone,may,wed,1423,3,999,0,nonexistent,16607
telephone,jun,tue,1336,4,999,0,nonexistent,33309
telephone,jun,thu,143,1,999,0,nonexistent,15108
telephone,jun,mon,135,2,999,0,nonexistent,31984
telephone,apr,tue,268,2,999,1,failure,2772
cellular,aug,mon,155,1,999,0,nonexistent,8775
telephone,jun,fri,10,4,999,0,nonexistent,19965
telephone,jun,mon,1323,9,999,0,nonexistent,17431
cellular,apr,thu,647,2,999,1,failure,26870
cellular,aug,thu,94,7,999,0,nonexistent,15475
cellular,apr,fri,262,3,999,1,failure,2388
cellular,apr,tue,487,1,999,0,nonexistent,19472
cellular,aug,wed,154,2,999,0,nonexistent,34538
telephone,may,mon,935,3,999,0,nonexistent,763
telephone,may,wed,53,3,999,0,nonexistent,28890
telephone,jul,mon,19,3,999,0,nonexistent,25005
cellular,may,wed,116,1,999,0,nonexistent,25325
telephone,may,mon,81,1,999,0,nonexistent,39627
telephone,may,fri,165,6,999,0,nonexistent,980
cellular,nov,fri,526,1,999,0,nonexistent,1168
telephone,sep,mon,289,1,999,0,nonexistent,33356
cellular,jul,fri,149,1,999,0,nonexistent,23338
cellular,may,mon,15,9,999,1,failure,38276
cellular,sep,fri,100,2,999,0,nonexistent,16020
telephone,jul,mon,9,1,999,1,failure,29948
cellular,jul,wed,298,2,999,0,nonexistent,28325
cellular,may,fri,346,1,999,1,failure,27865
telephone,may,wed,18,1,999,0,nonexistent,29956
cellular,jun,wed,65,1,999,1,failure,27748
cellular,may,mon,157,2,15,3,failure,14387
cellular,aug,wed,183,3,999,0,nonexistent,29894
cellular,dec,tue,1370,3,6,2,success,40595
telephone,may,tue,193,1,999,0,nonexistent,7391
cellular,aug,tue,158,1,999,1,failure,17067
cellular,may,tue,193,2,999,0,nonexistent,16763
telephone,may,fri,384,2,999,0,nonexistent,21544
telephone,jun,tue,652,2,999,0,nonexistent,1818
cellular,aug,mon,289,2,999,0,nonexistent,18457
telephone,jun,wed,137,6,999,0,nonexistent,41045
cellular,jun,thu,106,1,3,2,success,7833
telephone,jul,tue,35,1,999,0,nonexistent,124
telephone,may,thu,117,2,999,0,nonexistent,1908
cellular,nov,tue,203,3,999,0,nonexistent,36197
cellular,jul,wed,108,2,999,0,nonexistent,37869
cellular,jul,mon,199,1,999,0,nonexistent,37845
telephone,jun,thu,163,2,999,0,nonexistent,31763
cellular,aug,mon,163,1,999,0,nonexistent,5661
cellular,aug,fri,325,1,999,0,nonexistent,20543
cellular,aug,wed,157,3,999,0,nonexistent,33626
cellular,nov,fri,186,1,999,0,nonexistent,36412
cellular,sep,tue,667,1,999,1,failure,14651
cellular,jun,thu,288,1,999,0,nonexistent,3983
telephone,jun,fri,66,3,999,0,nonexistent,18819
telephone,may,thu,182,1,999,0,nonexistent,6278
cellular,jul,thu,166,1,999,0,nonexistent,8213
cellular,mar,fri,201,3,999,1,failure,30625
cellular,oct,tue,518,2,6,1,success,30273
cellular,apr,wed,335,2,999,0,nonexistent,29586
cellular,jul,fri,822,2,999,0,nonexistent,19254
cellular,apr,thu,237,2,999,0,nonexistent,2071
cellular,may,mon,222,6,999,0,nonexistent,23557
telephone,jul,tue,141,1,999,0,nonexistent,18495
cellular,aug,tue,205,1,999,0,nonexistent,30326
cellular,mar,tue,178,1,999,0,nonexistent,40817
telephone,may,mon,283,6,999,0,nonexistent,26182
cellular,jul,mon,125,2,999,0,nonexistent,9816
cellular,aug,mon,273,3,999,0,nonexistent,20390
cellular,jul,fri,1689,2,999,0,nonexistent,342
telephone,jun,wed,355,1,999,2,failure,13877
cellular,nov,wed,819,3,999,0,nonexistent,11247
cellular,jul,thu,200,1,999,0,nonexistent,36959
cellular,aug,mon,180,2,999,0,nonexistent,31712
cellular,aug,wed,523,3,999,0,nonexistent,34445
cellular,aug,fri,174,1,999,0,nonexistent,7610
telephone,jun,tue,149,1,999,0,nonexistent,10652
telephone,may,mon,130,1,999,0,nonexistent,40879
cellular,jul,wed,227,6,999,0,nonexistent,3011
telephone,may,tue,133,12,999,0,nonexistent,16122
cellular,jul,fri,14,1,999,0,nonexistent,7361
telephone,jun,fri,215,1,999,0,nonexistent,12732
cellular,jun,mon,95,1,999,0,nonexistent,31860
cellular,jul,tue,858,6,999,0,nonexistent,23174
cellular,jun,tue,179,2,3,1,success,4233
cellular,may,mon,284,2,999,1,failure,25704
telephone,may,wed,126,1,999,0,nonexistent,30796
telephone,jun,wed,148,2,999,0,nonexistent,15884
cellular,oct,fri,133,2,999,1,failure,28352
cellular,aug,tue,156,1,999,2,failure,28958
cellular,aug,thu,238,2,999,1,failure,7867
cellular,nov,mon,128,2,999,1,failure,5131
telephone,apr,wed,164,23,999,0,nonexistent,5380
cellular,aug,mon,123,2,999,0,nonexistent,2109
cellular,apr,thu,195,2,999,0,nonexistent,35411
telephone,may,wed,127,3,999,0,nonexistent,10218
cellular,nov,wed,138,1,999,0,nonexistent,23490
telephone,jun,fri,179,21,999,0,nonexistent,2295
cellular,aug,wed,763,1,999,0,nonexistent,36214
cellular,jul,fri,168,7,999,0,nonexistent,1811
telephone,jul,thu,193,1,999,0,nonexistent,31859
cellular,aug,wed,260,1,999,0,nonexistent,36884
cellular,nov,mon,130,2,999,1,failure,39017
cellular,aug,thu,1321,6,999,0,nonexistent,22147
telephone,may,wed,198,1,999,0,nonexistent,27790
cellular,mar,mon,111,3,999,0,nonexistent,4691
telephone,may,fri,529,4,999,0,nonexistent,34584
telephone,may,wed,890,26,999,0,nonexistent,18596
cellular,aug,wed,96,1,999,0,nonexistent,16504
telephone,oct,fri,227,1,999,0,nonexistent,14392
telephone,nov,mon,179,5,999,1,failure,28592
telephone,aug,fri,129,1,999,0,nonexistent,11429
cellular,nov,tue,638,2,999,0,nonexistent,38875
cellular,may,mon,128,1,999,0,nonexistent,18977
telephone,may,wed,122,2,999,0,nonexistent,9561
cellular,jul,wed,102,2,999,0,nonexistent,7613
telephone,jun,tue,272,1,999,0,nonexistent,8752
cellular,nov,mon,38,1,999,0,nonexistent,8063
cellular,may,fri,159,1,999,1,failure,8967
telephone,may,fri,115,1,999,0,nonexistent,29533
telephone,jun,mon,101,1,999,0,nonexistent,4816
cellular,jul,fri,42,3,999,0,nonexistent,29750
cellular,aug,fri,79,2,999,0,nonexistent,31007
telephone,aug,mon,139,1,999,0,nonexistent,16744
telephone,apr,mon,475,6,999,1,failure,39323
cellular,aug,wed,156,1,999,0,nonexistent,37068
telephone,may,tue,122,1,999,0,nonexistent,155
cellular,jul,tue,174,2,13,2,success,1008
cellular,may,fri,439,4,999,0,nonexistent,14591
telephone,jun,mon,532,2,999,0,nonexistent,31771
cellular,mar,thu,272,1,6,2,success,29658
telephone,may,tue,138,4,999,0,nonexistent,36724
cellular,may,tue,84,3,999,0,nonexistent,20649
cellular,apr,thu,68,3,999,2,failure,37227
cellular,may,mon,16,1,999,0,nonexistent,39491
cellular,jul,mon,13,20,999,0,nonexistent,18848
cellular,may,thu,218,4,999,0,nonexistent,39686
telephone,may,fri,143,4,999,0,nonexistent,29288
telephone,may,mon,506,1,999,0,nonexistent,323
cellular,jul,mon,300,5,999,0,nonexistent,28301
cellular,nov,thu,105,2,999,1,failure,19882
telephone,may,wed,78,5,999,0,nonexistent,36411
telephone,may,tue,464,2,999,0,nonexistent,6214
telephone,jul,tue,186,1,999,0,nonexistent,32722
cellular,jul,fri,1185,1,999,0,nonexistent,33680
telephone,jun,fri,26,1,999,0,nonexistent,34054
telephone,may,wed,88,3,999,0,nonexistent,26947
telephone,may,fri,567,3,999,0,nonexistent,36666
telephone,may,tue,125,1,999,0,nonexistent,36890
telephone,nov,mon,73,1,999,0,nonexistent,651
telephone,may,tue,88,1,999,0,nonexistent,35274
telephone,may,mon,118,4,999,0,nonexistent,37577
cellular,apr,thu,132,1,999,0,nonexistent,12408
cellular,may,fri,199,2,999,0,nonexistent,3913
telephone,may,fri,128,1,999,0,nonexistent,11398
telephone,jun,tue,79,31,999,0,nonexistent,35209
telephone,jul,fri,692,1,999,0,nonexistent,34151
telephone,may,fri,291,4,999,0,nonexistent,22267
cellular,jul,thu,110,3,999,0,nonexistent,36570
cellular,apr,fri,170,5,999,0,nonexistent,15511
telephone,jun,mon,72,3,999,0,nonexistent,2661
cellular,jul,wed,124,2,999,0,nonexistent,28241
telephone,may,thu,173,1,999,0,nonexistent,7569
cellular,aug,fri,78,1,999,0,nonexistent,33904
telephone,may,tue,305,1,999,0,nonexistent,3595
cellular,apr,thu,218,2,6,1,success,25794
telephone,jun,fri,446,1,999,0,nonexistent,14326
telephone,may,thu,189,1,999,0,nonexistent,4024
telephone,jun,wed,233,1,999,0,nonexistent,33889
cellular,nov,thu,1476,4,999,0,nonexistent,24205
cellular,aug,tue,176,1,999,0,nonexistent,1660
cellular,jul,tue,204,3,999,0,nonexistent,19513
cellular,may,fri,261,1,999,1,failure,40076
cellular,apr,thu,457,1,2,1,success,20734
cellular,may,thu,202,2,999,0,nonexistent,2019
cellular,jul,fri,591,3,999,0,nonexistent,1458
telephone,may,fri,348,2,999,0,nonexistent,40798
telephone,may,fri,400,2,999,0,nonexistent,35925
cellular,aug,tue,131,1,999,0,nonexistent,8785
telephone,aug,wed,237,12,999,0,nonexistent,18168
telephone,may,fri,104,6,999,0,nonexistent,4610
telephone,may,mon,251,11,999,0,nonexistent,994
telephone,jun,fri,250,8,999,0,nonexistent,31014
telephone,may,thu,826,3,999,0,nonexistent,19082
telephone,jul,wed,18,9,999,0,nonexistent,40197
cellular,apr,mon,10,6,999,0,nonexistent,33920
telephone,may,mon,496,3,999,0,nonexistent,4820
cellular,aug,wed,68,1,999,0,nonexistent,27045
telephone,may,mon,181,4,999,0,nonexistent,31583
cellular,mar,thu,53,3,999,0,nonexistent,24091
telephone,may,tue,217,1,999,0,nonexistent,13989
cellular,jun,tue,106,4,999,0,nonexistent,27766
cellular,may,tue,55,1,999,1,failure,5904
telephone,may,thu,764,2,999,0,nonexistent,13332
cellular,aug,thu,359,1,999,0,nonexistent,5148
telephone,may,fri,116,1,999,0,nonexistent,32390
cellular,apr,thu,350,1,999,1,failure,24911
cellular,may,fri,47,3,999,0,nonexistent,29479
telephone,may,tue,62,4,999,0,nonexistent,21066
telephone,may,tue,214,1,999,0,nonexistent,8615
telephone,apr,tue,189,1,999,0,nonexistent,10952
cellular,may,thu,689,1,999,0,nonexistent,30876
cellular,may,thu,143,1,999,0,nonexistent,26783
cellular,may,mon,195,5,999,1,failure,28997
cellular,jul,mon,42,3,999,0,nonexistent,14430
telephone,jun,fri,315,1,999,0,nonexistent,11361
cellular,nov,fri,128,2,999,0,nonexistent,10561
cellular,may,tue,469,2,999,1,failure,34817
telephone,may,thu,126,3,999,0,nonexistent,34356
cellular,jul,thu,120,3,999,0,nonexistent,33541
cellular,jul,mon,43,2,999,0,nonexistent,29700
telephone,may,mon,286,4,999,0,nonexistent,31059
telephone,may,fri,168,2,999,0,nonexistent,15201
cellular,nov,mon,652,2,999,1,failure,39921
cellular,aug,thu,192,3,999,0,nonexistent,27976
telephone,may,fri,90,7,999,0,nonexistent,17464
cellular,may,wed,612,2,999,0,nonexistent,38460
cellular,nov,thu,10,6,999,1,failure,8307
cellular,jul,tue,289,3,999,0,nonexistent,26901
telephone,may,wed,293,1,999,0,nonexistent,39875
cellular,nov,thu,302,3,999,0,nonexistent,6311
cellular,nov,tue,88,2,999,2,failure,17882
cellular,oct,fri,738,3,6,1,success,38566
cellular,nov,thu,201,4,999,0,nonexistent,5353
telephone,may,wed,942,3,999,0,nonexistent,3134
cellular,may,wed,426,3,999,0,nonexistent,40133
telephone,nov,thu,76,9,999,0,nonexistent,30654
telephone,may,tue,81,1,999,0,nonexistent,36340
telephone,may,wed,142,3,999,0,nonexistent,19658
cellular,apr,mon,136,3,999,0,nonexistent,8605
cellular,may,tue,161,2,999,0,nonexistent,17742
cellular,may,thu,125,1,999,1,failure,5124
cellular,jul,fri,83,2,999,0,nonexistent,18820
telephone,jun,tue,284,3,999,0,nonexistent,3337
telephone,jun,thu,163,1,999,0,nonexistent,29145
telephone,jun,mon,277,1,999,0,nonexistent,17024
cellular,apr,fri,515,1,999,0,nonexistent,25662
cellular,jul,wed,206,2,999,0,nonexistent,21232
cellular,jul,thu,108,4,999,0,nonexistent,30879
cellular,apr,fri,377,2,999,0,nonexistent,13615
cellular,nov,fri,127,2,999,0,nonexistent,14264
cellular,nov,mon,176,1,999,0,nonexistent,30399
cellular,apr,mon,305,2,999,1,failure,7179
telephone,may,thu,129,2,999,0,nonexistent,28803
cellular,may,thu,69,1,999,0,nonexistent,29521
telephone,may,fri,343,4,999,0,nonexistent,37924
cellular,nov,thu,640,1,999,0,nonexistent,5572
cellular,oct,tue,156,1,999,0,nonexistent,36965
telephone,jun,wed,367,2,999,0,nonexistent,8253
cellular,sep,tue,206,1,999,0,nonexistent,3197
cellular,oct,wed,130,1,999,0,nonexistent,35379
telephone,may,wed,24,1,999,0,nonexistent,288
cellular,jul,thu,470,4,999,0,nonexistent,17076
cellular,may,wed,132,1,999,1,failure,30033
telephone,may,wed,263,1,999,0,nonexistent,40170
cellular,aug,wed,132,1,999,0,nonexistent,6907
telephone,jun,wed,18,1,999,0,nonexistent,24738
cellular,apr,fri,107,1,999,1,failure,17627
cellular,nov,mon,158,1,999,0,nonexistent,8117
cellular,aug,tue,541,1,999,0,nonexistent,6369
telephone,may,fri,128,1,999,0,nonexistent,10847
telephone,aug,mon,36,1,999,0,nonexistent,41075
cellular,jul,thu,56,2,999,0,nonexistent,22205
telephone,may,wed,402,1,999,0,nonexistent,35821
cellular,jul,tue,186,6,999,0,nonexistent,6998
cellular,may,tue,25,6,999,0,nonexistent,15101
cellular,nov,fri,157,4,999,0,nonexistent,9031
telephone,may,tue,179,1,999,0,nonexistent,29030
cellular,may,fri,199,2,999,1,failure,18442
cellular,aug,mon,93,4,999,0,nonexistent,9911
telephone,may,thu,750,2,999,0,nonexistent,2919
telephone,may,mon,396,3,999,0,nonexistent,37732
cellular,mar,thu,106,1,999,0,nonexistent,39955
telephone,may,tue,81,1,999,0,nonexistent,6139
cellular,nov,fri,1036,2,999,0,nonexistent,34428
cellular,aug,mon,78,1,999,0,nonexistent,12505
cellular,may,thu,56,1,999,1,failure,30101
telephone,jun,mon,216,3,999,0,nonexistent,25874
cellular,oct,wed,108,1,999,0,nonexistent,374
cellular,nov,thu,728,1,999,0,nonexistent,34505
cellular,jul,fri,115,1,999,0,nonexistent,18065
telephone,may,thu,178,2,999,0,nonexistent,22178
telephone,may,tue,246,2,999,0,nonexistent,36981
cellular,apr,wed,244,3,999,0,nonexistent,24084
cellular,may,mon,85,1,999,0,nonexistent,16461
telephone,may,tue,152,3,999,0,nonexistent,697
cellular,may,wed,150,3,999,2,failure,1315
cellular,jul,tue,335,3,999,2,failure,11969
telephone,jun,wed,177,8,999,0,nonexistent,30106
cellular,may,mon,26,4,999,0,nonexistent,24347
telephone,may,fri,1212,3,999,0,nonexistent,13514
cellular,aug,wed,176,1,999,0,nonexistent,3084
cellular,oct,fri,416,2,999,0,nonexistent,14611
cellular,may,mon,30,7,999,0,nonexistent,3127
cellular,jul,wed,323,1,999,0,nonexistent,341
telephone,jun,thu,1268,2,999,0,nonexistent,25485
cellular,nov,wed,51,1,999,1,failure,34248
cellular,may,tue,203,2,999,0,nonexistent,21204
cellular,aug,wed,82,1,999,0,nonexistent,20947
cellular,aug,mon,240,5,999,0,nonexistent,19149
cellular,nov,wed,243,2,999,1,failure,21271
cellular,nov,tue,138,1,999,0,nonexistent,5739
telephone,may,tue,358,2,999,0,nonexistent,14174
cellular,aug,thu,212,2,999,0,nonexistent,8233
telephone,jun,wed,131,2,999,0,nonexistent,4355
cellular,oct,mon,67,1,999,0,nonexistent,31255
telephone,may,mon,408,2,999,0,nonexistent,34758
cellular,oct,wed,608,1,9,2,failure,19048
cellular,nov,mon,131,1,999,0,nonexistent,40344
cellular,jul,tue,241,9,999,0,nonexistent,4903
cellular,nov,thu,353,1,999,0,nonexistent,7107
telephone,may,wed,22,4,999,0,nonexistent,26370
telephone,may,fri,97,1,999,0,nonexistent,25385
telephone,jun,fri,41,7,999,0,nonexistent,23889
cellular,jul,thu,48,3,999,0,nonexistent,9474
cellular,aug,thu,218,6,999,0,nonexistent,19076
cellular,nov,tue,111,1,999,1,failure,26456
telephone,jun,mon,97,1,999,0,nonexistent,38641
cellular,oct,wed,216,1,999,1,failure,29053
cellular,jul,wed,295,1,999,0,nonexistent,16023
cellular,jun,fri,227,1,999,0,nonexistent,17840
cellular,aug,wed,72,3,999,0,nonexistent,37554
cellular,aug,wed,127,1,999,0,nonexistent,34282
telephone,may,thu,219,1,999,0,nonexistent,20229
cellular,sep,thu,190,1,999,0,nonexistent,16073
cellular,nov,thu,2453,2,999,0,nonexistent,14444
cellular,aug,thu,78,1,999,0,nonexistent,37810
cellular,may,fri,98,2,999,1,failure,11889
cellular,may,wed,14,4,999,0,nonexistent,1038
telephone,may,thu,248,3,999,0,nonexistent,36826
cellular,jul,mon,422,2,999,0,nonexistent,26930
cellular,aug,thu,172,1,999,0,nonexistent,9324
cellular,may,wed,79,3,999,0,nonexistent,35848
cellular,nov,wed,69,2,999,0,nonexistent,12437
telephone,jul,tue,129,3,999,0,nonexistent,3698
cellular,aug,fri,235,1,999,0,nonexistent,39732
telephone,may,fri,106,1,999,0,nonexistent,34147
telephone,jul,thu,77,1,999,0,nonexistent,13595
telephone,may,wed,374,1,999,0,nonexistent,7289
cellular,aug,tue,96,4,999,0,nonexistent,15001
telephone,may,wed,127,1,999,0,nonexistent,28999
cellular,may,tue,348,1,999,0,nonexistent,406
cellular,aug,tue,748,2,999,0,nonexistent,25425
cellular,may,thu,246,2,999,0,nonexistent,35400
cellular,apr,mon,104,4,999,0,nonexistent,15500
telephone,may,wed,257,2,999,0,nonexistent,13053
telephone,jun,thu,344,1,999,0,nonexistent,15164
telephone,jun,mon,90,2,999,0,nonexistent,33095
telephone,may,mon,36,2,999,0,nonexistent,19923
cellular,apr,thu,229,1,999,0,nonexistent,39988
telephone,may,tue,201,1,999,0,nonexistent,12945
telephone,may,wed,100,3,999,0,nonexistent,26354
cellular,jul,tue,1011,1,999,0,nonexistent,32609
cellular,may,mon,351,1,999,0,nonexistent,2266
cellular,nov,thu,96,1,999,0,nonexistent,11984
telephone,may,tue,259,1,999,0,nonexistent,40799
cellular,may,thu,219,2,999,0,nonexistent,2515
cellular,aug,tue,474,2,999,0,nonexistent,13603
telephone,jun,wed,134,2,999,0,nonexistent,14180
telephone,may,thu,108,3,999,0,nonexistent,33700
cellular,jul,thu,189,2,999,0,nonexistent,16127
cellular,jul,mon,100,16,999,0,nonexistent,35875
telephone,may,mon,126,2,999,0,nonexistent,35284
