contact,month,day_of_week,campaign,pdays,previous,poutcome,id
telephone,may,thu,2,999,0,nonexistent,30095
cellular,aug,tue,7,999,0,nonexistent,35637
telephone,may,fri,1,999,0,nonexistent,17904
telephone,jun,mon,1,999,0,nonexistent,37986
cellular,aug,mon,1,999,1,failure,39884
telephone,jul,fri,2,999,0,nonexistent,4473
cellular,may,mon,2,999,0,nonexistent,39552
cellular,jul,tue,1,999,0,nonexistent,5813
telephone,may,thu,2,999,0,nonexistent,36213
cellular,jul,tue,1,999,0,nonexistent,23907
telephone,may,mon,6,999,0,nonexistent,16802
telephone,may,tue,3,999,0,nonexistent,34775
telephone,may,thu,1,999,0,nonexistent,30381
telephone,nov,mon,1,999,0,nonexistent,24919
cellular,may,fri,1,999,0,nonexistent,9015
telephone,jun,thu,3,999,0,nonexistent,2372
telephone,jun,thu,2,999,0,nonexistent,13648
telephone,may,fri,1,999,0,nonexistent,13721
telephone,may,wed,1,999,0,nonexistent,13684
telephone,jul,fri,1,999,0,nonexistent,40457
telephone,aug,tue,8,999,0,nonexistent,30781
telephone,nov,wed,1,999,0,nonexistent,26290
cellular,apr,mon,1,999,0,nonexistent,32967
cellular,aug,fri,2,999,0,nonexistent,13723
telephone,may,wed,3,999,0,nonexistent,21450
cellular,jul,wed,1,999,0,nonexistent,14383
cellular,nov,tue,5,999,0,nonexistent,34961
telephone,may,thu,2,999,0,nonexistent,19643
cellular,may,thu,3,999,0,nonexistent,5168
cellular,nov,mon,1,999,0,nonexistent,26620
telephone,may,wed,2,999,0,nonexistent,5065
cellular,jul,mon,3,999,0,nonexistent,25227
cellular,jun,mon,1,999,0,nonexistent,30917
telephone,may,fri,1,999,0,nonexistent,13824
cellular,aug,wed,1,999,0,nonexistent,9394
cellular,aug,fri,1,999,0,nonexistent,10443
cellular,jul,fri,4,16,0,nonexistent,8466
telephone,jul,thu,6,999,0,nonexistent,39657
telephone,nov,mon,4,999,0,nonexistent,16301
cellular,aug,thu,5,999,1,failure,17604
telephone,apr,tue,1,999,0,nonexistent,28461
telephone,jun,thu,1,999,0,nonexistent,31944
cellular,nov,mon,1,999,0,nonexistent,39937
cellular,may,tue,1,999,0,nonexistent,31467
cellular,apr,wed,2,999,0,nonexistent,24322
telephone,may,wed,1,999,0,nonexistent,32291
cellular,may,wed,2,999,0,nonexistent,35853
cellular,aug,thu,11,999,0,nonexistent,5852
cellular,aug,fri,2,999,0,nonexistent,37702
cellular,aug,wed,2,999,0,nonexistent,2330
cellular,aug,thu,14,999,0,nonexistent,1146
cellular,may,wed,3,999,0,nonexistent,36147
cellular,nov,wed,5,999,0,nonexistent,413
cellular,jul,fri,1,999,0,nonexistent,7644
telephone,may,wed,1,999,0,nonexistent,27038
cellular,may,mon,2,999,0,nonexistent,20844
cellular,dec,tue,3,999,0,nonexistent,2140
cellular,apr,wed,3,999,0,nonexistent,18289
cellular,may,thu,3,999,0,nonexistent,19784
cellular,aug,mon,1,999,0,nonexistent,24110
telephone,may,wed,3,999,0,nonexistent,8877
cellular,may,mon,1,999,0,nonexistent,25223
telephone,jun,mon,1,999,0,nonexistent,15079
cellular,apr,thu,2,999,0,nonexistent,30964
cellular,aug,wed,9,999,0,nonexistent,37989
cellular,jul,tue,2,999,0,nonexistent,18333
cellular,sep,fri,1,999,0,nonexistent,13791
telephone,may,thu,7,999,0,nonexistent,28149
cellular,aug,mon,2,999,0,nonexistent,14254
telephone,may,wed,2,999,0,nonexistent,35513
cellular,nov,thu,1,999,0,nonexistent,35031
cellular,apr,fri,1,999,0,nonexistent,33114
telephone,may,wed,1,999,1,failure,3189
cellular,apr,fri,1,999,1,failure,28112
cellular,may,tue,3,999,0,nonexistent,14928
cellular,nov,tue,1,999,0,nonexistent,16396
telephone,may,mon,2,999,0,nonexistent,10872
telephone,may,tue,3,999,1,failure,8587
cellular,may,tue,2,999,0,nonexistent,29451
cellular,nov,thu,2,999,0,nonexistent,28354
cellular,jul,fri,1,999,0,nonexistent,11636
cellular,apr,tue,1,999,0,nonexistent,26244
telephone,jun,fri,8,999,0,nonexistent,19911
cellular,apr,fri,3,999,0,nonexistent,20013
telephone,may,fri,1,999,0,nonexistent,4615
cellular,aug,wed,1,0,0,nonexistent,32944
telephone,may,thu,1,999,0,nonexistent,29362
telephone,may,thu,2,999,0,nonexistent,36817
telephone,jun,tue,2,999,0,nonexistent,27930
cellular,jul,thu,2,999,0,nonexistent,8792
cellular,may,fri,4,999,0,nonexistent,15499
cellular,jul,fri,3,999,0,nonexistent,2528
telephone,may,mon,2,999,0,nonexistent,37638
telephone,may,tue,1,999,0,nonexistent,39223
cellular,may,wed,3,999,0,nonexistent,4049
cellular,aug,tue,1,999,0,nonexistent,17447
telephone,may,fri,6,999,1,failure,12242
telephone,jun,wed,16,999,0,nonexistent,33690
cellular,aug,fri,1,4,0,nonexistent,15989
cellular,jul,thu,1,999,0,nonexistent,11380
telephone,oct,wed,1,999,1,failure,30272
cellular,aug,wed,2,999,0,nonexistent,22124
cellular,may,tue,6,999,0,nonexistent,23292
cellular,jul,wed,1,999,0,nonexistent,4704
telephone,nov,mon,2,999,0,nonexistent,37220
telephone,jun,mon,1,999,0,nonexistent,10989
telephone,may,tue,1,999,1,failure,21992
cellular,aug,thu,6,999,0,nonexistent,7069
telephone,may,wed,2,999,0,nonexistent,30577
cellular,may,thu,2,999,0,nonexistent,34903
telephone,may,fri,2,999,0,nonexistent,13312
cellular,may,wed,1,999,0,nonexistent,12646
cellular,mar,tue,2,11,0,nonexistent,38109
cellular,jul,wed,1,999,0,nonexistent,6186
telephone,may,mon,1,999,0,nonexistent,40321
telephone,jun,wed,7,999,0,nonexistent,1011
telephone,may,wed,5,999,0,nonexistent,37434
telephone,may,wed,1,999,0,nonexistent,31023
cellular,mar,tue,1,999,1,failure,5924
cellular,may,fri,2,999,0,nonexistent,15694
cellular,apr,wed,1,999,0,nonexistent,158
cellular,jul,tue,2,999,0,nonexistent,29819
cellular,nov,tue,1,999,0,nonexistent,29970
telephone,may,tue,1,999,0,nonexistent,24909
telephone,may,wed,2,999,1,failure,417
cellular,may,thu,7,999,0,nonexistent,31762
cellular,jul,wed,7,999,1,failure,38435
cellular,aug,wed,4,999,0,nonexistent,22131
cellular,may,fri,2,9,0,nonexistent,25458
cellular,nov,fri,2,999,0,nonexistent,27522
telephone,may,fri,6,999,0,nonexistent,32910
telephone,may,tue,3,999,0,nonexistent,1254
cellular,oct,mon,1,999,0,nonexistent,5045
cellular,aug,thu,2,999,1,failure,12011
cellular,jul,wed,3,999,0,nonexistent,36039
telephone,jun,fri,5,999,0,nonexistent,20688
telephone,may,thu,4,999,0,nonexistent,38972
cellular,jul,wed,4,999,0,nonexistent,7985
telephone,may,mon,2,999,0,nonexistent,4663
cellular,aug,mon,2,999,0,nonexistent,26577
cellular,sep,fri,3,999,0,nonexistent,24238
telephone,may,tue,2,999,1,failure,30875
telephone,may,tue,1,999,0,nonexistent,38381
telephone,may,wed,1,999,1,failure,655
cellular,nov,tue,1,999,0,nonexistent,35985
cellular,apr,fri,1,999,0,nonexistent,7073
cellular,aug,thu,3,999,0,nonexistent,29815
telephone,may,mon,2,999,0,nonexistent,31095
telephone,jun,tue,1,999,0,nonexistent,36459
telephone,jun,thu,1,999,0,nonexistent,13765
telephone,may,thu,1,999,0,nonexistent,34531
cellular,nov,thu,4,999,1,failure,12493
telephone,may,wed,3,999,0,nonexistent,26609
telephone,apr,tue,2,999,0,nonexistent,25577
telephone,may,fri,2,999,0,nonexistent,16077
telephone,may,mon,1,999,0,nonexistent,38177
cellular,jun,mon,1,999,0,nonexistent,16410
telephone,oct,fri,2,999,0,nonexistent,26161
cellular,nov,fri,1,999,1,failure,27970
cellular,oct,thu,1,999,0,nonexistent,14189
cellular,nov,mon,1,999,0,nonexistent,17642
cellular,nov,fri,1,999,0,nonexistent,25703
cellular,nov,fri,4,999,0,nonexistent,17161
cellular,jul,tue,6,999,0,nonexistent,41131
telephone,may,thu,1,999,0,nonexistent,9969
cellular,jul,thu,1,999,0,nonexistent,5091
cellular,jul,mon,2,999,0,nonexistent,25296
cellular,aug,tue,11,999,0,nonexistent,6891
telephone,may,wed,4,999,0,nonexistent,36073
telephone,may,wed,1,999,0,nonexistent,33330
telephone,nov,tue,1,999,0,nonexistent,6883
telephone,jun,tue,3,999,0,nonexistent,34245
cellular,aug,tue,1,999,0,nonexistent,7342
telephone,jun,mon,3,999,0,nonexistent,24174
cellular,jul,thu,1,999,1,failure,4570
cellular,sep,tue,1,999,0,nonexistent,38278
cellular,may,fri,3,999,0,nonexistent,11941
telephone,jun,thu,31,999,1,failure,34035
cellular,jul,wed,1,999,0,nonexistent,10511
telephone,may,tue,1,999,0,nonexistent,41000
telephone,nov,fri,1,999,0,nonexistent,1238
cellular,apr,fri,2,999,0,nonexistent,38021
cellular,may,mon,2,999,0,nonexistent,3547
cellular,jul,fri,2,999,0,nonexistent,1342
cellular,aug,thu,2,999,1,failure,14821
cellular,may,wed,4,999,0,nonexistent,35261
telephone,may,tue,2,999,0,nonexistent,5323
cellular,apr,mon,12,999,0,nonexistent,22116
telephone,may,thu,3,999,0,nonexistent,12213
telephone,jul,tue,2,999,0,nonexistent,39220
cellular,aug,fri,2,999,1,failure,4234
telephone,jun,thu,5,999,0,nonexistent,22769
cellular,jul,thu,1,999,0,nonexistent,2585
cellular,jul,thu,2,999,0,nonexistent,28358
cellular,aug,wed,3,999,0,nonexistent,2617
telephone,may,mon,2,999,1,failure,28519
cellular,nov,thu,1,999,1,failure,34910
telephone,jun,mon,1,999,0,nonexistent,912
cellular,may,mon,1,999,0,nonexistent,27150
cellular,apr,mon,2,999,0,nonexistent,23903
cellular,aug,thu,14,999,0,nonexistent,36952
cellular,jul,thu,5,999,0,nonexistent,31343
cellular,jun,wed,2,999,1,failure,37358
telephone,may,wed,1,999,1,failure,26249
cellular,jul,wed,1,999,0,nonexistent,15957
cellular,may,mon,2,999,0,nonexistent,17477
cellular,may,thu,2,999,0,nonexistent,32358
cellular,may,fri,1,999,0,nonexistent,26084
telephone,may,tue,3,999,1,failure,25032
telephone,aug,fri,1,999,0,nonexistent,9497
cellular,may,mon,2,999,0,nonexistent,6756
cellular,may,tue,2,999,1,failure,4648
cellular,may,tue,1,999,0,nonexistent,38822
cellular,apr,thu,1,999,0,nonexistent,14063
cellular,aug,mon,1,999,0,nonexistent,31848
cellular,jul,tue,1,999,1,failure,25876
telephone,may,thu,4,999,0,nonexistent,29162
cellular,jul,wed,1,999,0,nonexistent,4075
cellular,jul,tue,2,999,1,success,5714
telephone,may,mon,1,999,0,nonexistent,25449
cellular,jun,fri,3,999,0,nonexistent,25928
cellular,mar,wed,1,999,0,nonexistent,12791
cellular,nov,thu,1,999,0,nonexistent,38358
cellular,jul,thu,1,999,0,nonexistent,13516
telephone,may,mon,3,999,1,failure,14717
cellular,may,fri,6,999,0,nonexistent,6418
cellular,jul,mon,5,999,1,failure,23967
cellular,jul,fri,2,999,0,nonexistent,16862
telephone,may,thu,2,999,1,failure,19867
telephone,jun,mon,3,999,0,nonexistent,35191
telephone,may,mon,2,999,0,nonexistent,15941
cellular,aug,wed,2,999,0,nonexistent,4085
cellular,mar,tue,1,999,1,success,14492
telephone,jun,mon,1,999,0,nonexistent,33898
cellular,apr,mon,4,999,0,nonexistent,10468
cellular,aug,mon,1,999,0,nonexistent,26847
cellular,may,thu,1,999,0,nonexistent,1256
telephone,nov,tue,4,999,0,nonexistent,17484
cellular,jun,wed,3,999,0,nonexistent,25466
cellular,nov,thu,1,999,1,success,28550
cellular,may,wed,2,999,0,nonexistent,12411
cellular,aug,wed,1,6,0,nonexistent,31104
telephone,may,thu,1,999,1,failure,31399
cellular,jul,thu,12,999,1,failure,9576
cellular,apr,fri,1,999,0,nonexistent,6612
cellular,nov,tue,1,999,0,nonexistent,2803
telephone,jun,tue,1,999,0,nonexistent,34990
cellular,apr,wed,2,999,1,failure,31516
telephone,jun,wed,1,999,0,nonexistent,35187
telephone,may,fri,2,999,0,nonexistent,4285
cellular,may,fri,1,999,0,nonexistent,31616
telephone,jun,wed,3,999,1,failure,16183
telephone,may,thu,2,999,0,nonexistent,7868
telephone,may,thu,2,999,0,nonexistent,19807
cellular,aug,wed,3,999,1,failure,32443
telephone,jun,thu,2,999,0,nonexistent,21245
telephone,jun,fri,4,999,0,nonexistent,34338
cellular,jun,tue,1,3,1,failure,26183
cellular,jul,thu,2,999,0,nonexistent,23053
cellular,aug,mon,1,999,0,nonexistent,22096
cellular,may,mon,2,999,0,nonexistent,2227
cellular,aug,mon,6,999,0,nonexistent,2852
cellular,aug,mon,9,999,0,nonexistent,34354
cellular,nov,mon,2,999,0,nonexistent,37609
cellular,may,mon,1,9,1,failure,32315
cellular,aug,wed,3,999,0,nonexistent,23443
cellular,jul,tue,14,999,0,nonexistent,14666
cellular,nov,wed,2,3,0,nonexistent,29401
cellular,sep,tue,3,6,0,nonexistent,18210
telephone,jun,wed,1,999,0,nonexistent,29781
cellular,jul,tue,4,999,0,nonexistent,2251
cellular,jul,thu,2,999,0,nonexistent,24061
cellular,aug,thu,3,999,0,nonexistent,8818
telephone,may,tue,1,999,0,nonexistent,14708
cellular,oct,mon,2,999,0,nonexistent,38158
telephone,jul,tue,1,999,0,nonexistent,20930
telephone,jun,mon,1,999,0,nonexistent,27016
cellular,may,tue,1,999,0,nonexistent,32716
cellular,aug,wed,1,3,0,nonexistent,18010
telephone,may,thu,1,999,1,failure,14034
cellular,jul,thu,4,999,0,nonexistent,27298
cellular,may,thu,4,999,1,failure,4825
telephone,may,tue,2,999,1,success,8751
telephone,may,tue,1,999,1,failure,35876
cellular,aug,mon,2,999,0,nonexistent,12217
cellular,aug,wed,3,999,0,nonexistent,37685
cellular,jul,wed,2,999,0,nonexistent,188
telephone,jun,mon,1,999,0,nonexistent,30965
cellular,aug,mon,1,999,0,nonexistent,31293
cellular,mar,tue,2,999,1,failure,6130
cellular,nov,thu,1,999,0,nonexistent,19922
telephone,may,mon,1,999,0,nonexistent,15325
cellular,nov,tue,2,999,0,nonexistent,10774
telephone,may,tue,2,999,0,nonexistent,22559
telephone,may,fri,1,999,0,nonexistent,37551
cellular,aug,tue,1,999,0,nonexistent,28210
cellular,may,wed,1,999,1,failure,33410
cellular,may,thu,1,999,0,nonexistent,5573
telephone,may,mon,7,999,0,nonexistent,30952
telephone,jun,thu,2,999,1,failure,36693
cellular,aug,thu,5,999,0,nonexistent,12166
telephone,may,thu,4,999,0,nonexistent,37857
telephone,jun,thu,1,999,1,failure,17357
cellular,aug,tue,2,999,0,nonexistent,3961
cellular,may,mon,1,999,0,nonexistent,26550
cellular,aug,fri,2,999,1,failure,15308
cellular,may,mon,2,14,0,nonexistent,21040
cellular,jul,thu,2,6,0,nonexistent,33008
cellular,jul,wed,2,999,0,nonexistent,5955
cellular,sep,fri,8,999,0,nonexistent,28714
cellular,may,fri,3,999,0,nonexistent,19436
cellular,jul,fri,1,999,0,nonexistent,1863
cellular,jul,fri,2,999,1,failure,32832
telephone,may,thu,1,999,1,failure,29148
cellular,may,wed,1,999,0,nonexistent,18541
cellular,aug,fri,1,999,0,nonexistent,20025
cellular,may,thu,1,999,0,nonexistent,4140
cellular,aug,tue,1,999,0,nonexistent,39951
cellular,may,wed,1,999,0,nonexistent,8330
cellular,aug,tue,2,999,0,nonexistent,37242
telephone,may,mon,4,999,0,nonexistent,27784
cellular,may,fri,2,999,0,nonexistent,9624
telephone,jun,wed,4,999,0,nonexistent,24820
cellular,jul,thu,1,999,0,nonexistent,14000
cellular,may,mon,1,999,1,failure,4528
cellular,aug,thu,9,999,0,nonexistent,36590
telephone,nov,thu,2,999,0,nonexistent,35989
cellular,nov,thu,3,999,1,failure,30331
telephone,may,thu,1,999,0,nonexistent,39238
telephone,may,wed,1,999,0,nonexistent,23679
telephone,jun,thu,1,999,0,nonexistent,20816
cellular,apr,fri,1,999,0,nonexistent,14675
cellular,aug,fri,1,999,0,nonexistent,21207
cellular,may,mon,3,999,0,nonexistent,21660
cellular,jul,thu,1,999,0,nonexistent,18865
telephone,may,mon,1,999,0,nonexistent,9734
telephone,aug,wed,2,999,0,nonexistent,21362
cellular,aug,wed,2,999,0,nonexistent,21257
cellular,jul,tue,1,999,0,nonexistent,28341
cellular,jul,thu,2,999,0,nonexistent,29598
cellular,jul,thu,5,999,0,nonexistent,18435
cellular,jul,thu,1,999,0,nonexistent,19342
telephone,may,mon,1,999,0,nonexistent,12113
cellular,jun,mon,1,999,0,nonexistent,21572
telephone,jun,mon,2,999,0,nonexistent,11150
telephone,jun,wed,1,999,1,failure,21131
cellular,nov,thu,1,999,0,nonexistent,2841
cellular,jul,fri,2,999,0,nonexistent,13864
telephone,nov,thu,2,999,0,nonexistent,35315
cellular,aug,mon,1,3,0,nonexistent,9484
cellular,nov,tue,1,999,0,nonexistent,39616
cellular,oct,fri,1,999,0,nonexistent,8357
cellular,aug,fri,1,999,0,nonexistent,2391
telephone,may,mon,1,999,1,success,24065
telephone,may,fri,3,999,0,nonexistent,40499
cellular,apr,wed,3,999,1,failure,27157
cellular,jul,tue,2,999,1,success,22731
cellular,nov,tue,1,999,0,nonexistent,21299
cellular,apr,thu,1,999,0,nonexistent,28473
telephone,may,thu,2,999,0,nonexistent,30268
cellular,aug,thu,2,999,0,nonexistent,9099
cellular,apr,wed,2,999,0,nonexistent,2563
cellular,may,wed,1,999,0,nonexistent,1700
cellular,jul,tue,1,999,0,nonexistent,20624
cellular,jul,mon,1,999,0,nonexistent,7677
telephone,jun,fri,1,999,1,success,38526
cellular,jul,mon,4,999,1,failure,16954
cellular,jul,wed,1,999,0,nonexistent,10445
telephone,may,tue,2,999,0,nonexistent,38906
cellular,may,thu,3,999,0,nonexistent,13410
cellular,jun,fri,1,999,0,nonexistent,1657
cellular,may,fri,2,999,0,nonexistent,12544
telephone,jun,thu,2,999,1,failure,21604
telephone,may,fri,1,999,0,nonexistent,24590
telephone,may,wed,5,6,0,nonexistent,40315
cellular,may,thu,4,999,0,nonexistent,13934
cellular,jun,thu,3,999,0,nonexistent,26806
cellular,jul,tue,1,999,0,nonexistent,13502
cellular,jul,fri,2,999,0,nonexistent,14418
telephone,may,wed,2,999,0,nonexistent,38885
telephone,nov,mon,1,999,0,nonexistent,10295
cellular,aug,tue,4,999,1,failure,38196
cellular,jul,fri,1,999,0,nonexistent,17186
cellular,oct,mon,1,999,1,failure,2570
cellular,oct,mon,3,3,0,nonexistent,27415
cellular,apr,mon,2,999,0,nonexistent,39289
telephone,may,fri,2,999,0,nonexistent,26886
telephone,mar,mon,1,6,0,nonexistent,38850
cellular,may,tue,1,12,0,nonexistent,28168
cellular,aug,thu,1,999,0,nonexistent,35489
cellular,apr,thu,1,2,1,failure,9764
telephone,may,wed,2,999,0,nonexistent,17851
telephone,may,wed,1,999,0,nonexistent,14423
cellular,apr,wed,2,999,0,nonexistent,35834
cellular,aug,wed,2,999,0,nonexistent,27138
telephone,jul,tue,7,999,0,nonexistent,35988
cellular,jul,mon,4,999,0,nonexistent,33558
cellular,jul,fri,2,999,0,nonexistent,23034
cellular,aug,fri,1,999,1,failure,34855
cellular,may,fri,8,999,0,nonexistent,1164
cellular,jul,fri,3,999,0,nonexistent,6904
cellular,may,fri,2,999,0,nonexistent,5232
cellular,jul,wed,5,999,0,nonexistent,40690
cellular,jul,tue,4,999,0,nonexistent,19441
cellular,nov,tue,1,999,0,nonexistent,17485
cellular,apr,tue,2,999,1,success,26081
telephone,may,mon,1,999,0,nonexistent,15122
cellular,nov,mon,3,999,1,failure,32080
cellular,jul,tue,1,999,0,nonexistent,21424
telephone,may,wed,1,999,0,nonexistent,31524
cellular,jul,thu,3,999,0,nonexistent,3633
cellular,jul,wed,1,999,0,nonexistent,37670
cellular,aug,tue,2,999,0,nonexistent,11978
telephone,may,thu,2,999,0,nonexistent,32984
cellular,aug,thu,15,999,0,nonexistent,24492
cellular,may,fri,5,999,0,nonexistent,3951
cellular,nov,wed,1,999,0,nonexistent,16559
telephone,jul,tue,7,999,0,nonexistent,2332
cellular,apr,mon,1,999,0,nonexistent,30901
telephone,may,wed,2,999,1,failure,12806
telephone,jul,mon,2,999,0,nonexistent,12377
cellular,jul,mon,9,999,1,failure,18588
telephone,jun,thu,1,999,0,nonexistent,23987
cellular,may,mon,1,999,0,nonexistent,12147
telephone,may,wed,1,999,1,failure,41003
cellular,may,fri,1,999,0,nonexistent,12941
cellular,may,tue,1,999,0,nonexistent,40878
cellular,jul,thu,7,999,0,nonexistent,22981
cellular,may,thu,2,999,0,nonexistent,3235
cellular,nov,wed,1,999,1,failure,796
telephone,may,wed,1,999,1,failure,29696
cellular,apr,fri,1,999,1,success,5806
telephone,may,fri,2,999,0,nonexistent,18419
telephone,may,tue,1,999,0,nonexistent,31109
telephone,dec,fri,1,999,0,nonexistent,32690
telephone,may,fri,3,999,1,failure,28866
telephone,may,thu,1,999,0,nonexistent,22659
cellular,apr,tue,1,999,0,nonexistent,7753
telephone,jun,tue,6,999,1,failure,10668
cellular,aug,tue,1,999,0,nonexistent,23109
cellular,aug,fri,3,999,0,nonexistent,20882
cellular,jul,thu,1,999,0,nonexistent,18982
cellular,aug,wed,2,999,1,failure,17658
telephone,jun,tue,5,999,0,nonexistent,9925
telephone,jun,mon,3,999,1,success,25442
cellular,jul,wed,3,999,1,failure,32595
telephone,jun,thu,2,999,0,nonexistent,3221
cellular,may,mon,5,999,0,nonexistent,26064
cellular,aug,fri,3,999,0,nonexistent,32246
cellular,aug,fri,3,999,0,nonexistent,26707
telephone,may,wed,2,999,0,nonexistent,37253
telephone,may,tue,1,999,0,nonexistent,18756
telephone,jun,mon,3,999,1,failure,23696
cellular,jul,thu,3,999,0,nonexistent,34602
cellular,aug,thu,1,999,0,nonexistent,20044
telephone,may,thu,2,999,0,nonexistent,8200
telephone,nov,tue,1,999,0,nonexistent,17598
cellular,aug,mon,2,999,0,nonexistent,10417
telephone,jul,fri,11,999,0,nonexistent,36492
cellular,apr,thu,1,999,0,nonexistent,11684
cellular,jul,thu,1,999,0,nonexistent,36649
cellular,apr,fri,2,999,0,nonexistent,5968
telephone,may,mon,1,999,0,nonexistent,21543
cellular,aug,tue,1,999,0,nonexistent,15365
telephone,aug,thu,2,999,0,nonexistent,17344
telephone,jun,thu,2,999,0,nonexistent,39802
telephone,oct,thu,1,999,0,nonexistent,2354
cellular,aug,tue,2,999,0,nonexistent,33677
telephone,may,thu,2,999,0,nonexistent,664
cellular,jun,mon,1,999,0,nonexistent,31046
cellular,jul,tue,2,999,0,nonexistent,8318
cellular,jul,wed,3,999,0,nonexistent,32745
cellular,may,tue,2,999,1,failure,1644
telephone,may,wed,2,999,0,nonexistent,11954
cellular,oct,fri,2,5,0,nonexistent,12339
telephone,may,wed,3,999,0,nonexistent,31911
telephone,may,tue,2,999,0,nonexistent,20852
cellular,jul,thu,1,999,0,nonexistent,16204
cellular,aug,tue,2,999,0,nonexistent,2897
cellular,may,thu,1,999,0,nonexistent,34131
cellular,aug,wed,1,999,0,nonexistent,19518
cellular,aug,tue,1,999,0,nonexistent,20635
telephone,may,mon,1,999,1,failure,13342
cellular,may,wed,2,999,0,nonexistent,21067
cellular,apr,thu,1,999,0,nonexistent,2090
cellular,oct,thu,3,999,0,nonexistent,19913
cellular,may,fri,2,999,0,nonexistent,3137
telephone,may,tue,2,999,0,nonexistent,12432
telephone,jun,wed,2,999,0,nonexistent,20862
telephone,nov,tue,1,999,1,failure,19835
cellular,jul,wed,5,999,0,nonexistent,35887
telephone,may,mon,4,999,0,nonexistent,6293
telephone,may,tue,3,999,0,nonexistent,38004
cellular,may,wed,1,999,0,nonexistent,37160
telephone,may,thu,2,999,0,nonexistent,38457
cellular,may,thu,1,999,0,nonexistent,37952
telephone,jun,fri,3,999,1,failure,22390
telephone,may,wed,2,999,0,nonexistent,4952
telephone,jun,fri,2,999,0,nonexistent,450
cellular,jul,thu,1,999,0,nonexistent,37206
cellular,aug,mon,1,999,0,nonexistent,31375
cellular,jul,tue,1,999,0,nonexistent,25579
telephone,may,mon,4,999,1,failure,30348
telephone,jul,mon,1,999,0,nonexistent,1468
cellular,may,tue,6,999,0,nonexistent,29829
cellular,apr,thu,1,999,1,failure,2520
telephone,nov,fri,3,999,1,success,41147
cellular,jul,fri,5,999,0,nonexistent,19529
cellular,may,wed,2,999,1,failure,1012
telephone,jun,wed,2,999,0,nonexistent,11117
telephone,jun,mon,1,999,1,failure,6416
telephone,may,wed,2,999,0,nonexistent,40082
telephone,may,mon,7,999,1,failure,35146
cellular,may,wed,2,999,1,failure,37422
cellular,jul,tue,1,999,0,nonexistent,27519
cellular,nov,thu,2,999,0,nonexistent,23797
telephone,jun,wed,3,999,1,failure,29629
cellular,aug,wed,2,999,0,nonexistent,16238
cellular,apr,mon,1,999,0,nonexistent,35068
telephone,nov,wed,1,999,0,nonexistent,10238
cellular,jul,tue,2,999,0,nonexistent,15481
cellular,jul,mon,3,999,0,nonexistent,39845
cellular,jul,tue,4,999,0,nonexistent,9738
cellular,nov,tue,1,999,0,nonexistent,3478
cellular,aug,tue,1,999,0,nonexistent,21294
cellular,nov,thu,1,999,0,nonexistent,30339
cellular,may,thu,2,999,0,nonexistent,25760
telephone,may,tue,2,999,0,nonexistent,27429
cellular,may,fri,1,999,0,nonexistent,10606
cellular,jul,thu,12,999,0,nonexistent,18889
telephone,may,fri,2,999,0,nonexistent,13310
cellular,nov,tue,2,999,0,nonexistent,28914
telephone,may,tue,2,999,1,failure,18885
cellular,jul,thu,1,999,0,nonexistent,31691
telephone,jun,thu,2,999,0,nonexistent,30290
cellular,may,mon,4,999,0,nonexistent,27568
cellular,sep,mon,1,999,0,nonexistent,40489
