age,job,marital,education,default,housing,loan,id
41,blue-collar,married,basic.9y,unknown,no,no,28349
43,blue-collar,married,basic.6y,unknown,no,no,31321
26,blue-collar,married,high.school,no,no,no,9419
49,management,married,university.degree,no,no,no,6884
51,admin.,married,university.degree,unknown,unknown,unknown,12406
27,self-employed,married,university.degree,no,yes,no,20324
29,admin.,single,high.school,no,yes,no,39037
34,technician,single,professional.course,no,yes,no,15227
52,blue-collar,married,basic.4y,no,yes,no,3110
59,blue-collar,married,basic.4y,unknown,unknown,unknown,3267
29,admin.,single,university.degree,no,no,no,26411
29,technician,single,professional.course,no,no,no,4803
26,admin.,single,high.school,no,no,no,5695
47,blue-collar,married,basic.4y,no,no,yes,37549
39,blue-collar,married,basic.4y,no,yes,no,20195
80,retired,divorced,unknown,no,yes,yes,19902
52,services,married,basic.6y,no,no,no,21039
41,admin.,divorced,university.degree,no,no,no,31913
43,blue-collar,married,basic.4y,no,yes,no,25177
55,blue-collar,married,basic.4y,unknown,yes,yes,15037
35,blue-collar,single,basic.9y,no,yes,no,24626
43,technician,single,professional.course,no,no,no,1324
48,admin.,divorced,university.degree,no,no,no,837
32,technician,married,university.degree,no,no,yes,38343
37,technician,married,professional.course,no,no,yes,14229
29,technician,single,university.degree,no,yes,no,31207
38,housemaid,married,university.degree,no,yes,no,2779
46,management,married,university.degree,no,yes,no,16973
24,services,single,professional.course,no,yes,no,40430
41,services,divorced,unknown,no,no,no,13462
29,entrepreneur,married,university.degree,no,no,no,10093
34,technician,married,unknown,no,yes,no,7796
31,management,single,university.degree,no,yes,no,23981
38,management,married,university.degree,unknown,no,no,15398
29,admin.,single,high.school,no,yes,yes,5876
42,admin.,married,university.degree,no,no,no,6437
38,technician,single,high.school,unknown,yes,yes,21010
57,retired,single,unknown,unknown,yes,no,2118
26,admin.,single,high.school,no,no,no,13061
43,admin.,married,professional.course,no,no,no,10878
26,services,married,high.school,no,no,no,23761
33,admin.,single,university.degree,no,yes,yes,29663
33,blue-collar,married,professional.course,no,yes,no,29987
33,technician,single,professional.course,no,no,no,5501
47,blue-collar,married,basic.4y,unknown,yes,yes,30524
50,management,divorced,university.degree,no,no,no,13666
26,admin.,divorced,basic.9y,no,no,no,26791
39,technician,single,professional.course,unknown,no,no,7017
31,services,single,high.school,no,yes,yes,5303
56,blue-collar,married,basic.4y,unknown,yes,no,30414
48,admin.,married,university.degree,no,yes,no,15474
28,services,single,basic.9y,no,yes,no,27118
54,admin.,single,university.degree,no,yes,no,5698
46,admin.,married,high.school,no,yes,yes,18375
49,admin.,divorced,high.school,no,yes,no,11644
39,housemaid,married,basic.4y,no,no,no,618
51,unemployed,married,high.school,no,yes,no,21186
37,housemaid,married,high.school,unknown,yes,no,3668
32,technician,single,university.degree,no,yes,no,31784
27,admin.,married,high.school,unknown,no,no,34440
43,admin.,divorced,basic.9y,no,yes,no,35932
46,technician,divorced,university.degree,no,no,no,40389
35,management,single,university.degree,no,no,yes,29997
39,services,married,high.school,no,yes,no,38478
25,services,single,high.school,no,no,no,9637
49,admin.,single,university.degree,no,yes,no,24886
30,technician,married,high.school,no,no,no,37034
40,admin.,married,university.degree,no,no,no,33612
31,admin.,single,university.degree,no,yes,no,28934
38,blue-collar,married,basic.6y,no,yes,no,4447
22,blue-collar,single,basic.9y,no,yes,no,17328
53,retired,divorced,high.school,no,unknown,unknown,14506
34,admin.,single,university.degree,no,no,no,561
57,admin.,married,university.degree,no,no,no,5137
32,services,married,high.school,no,yes,no,7185
57,blue-collar,married,basic.9y,unknown,no,no,31060
53,management,married,basic.4y,no,yes,no,27964
30,admin.,married,university.degree,no,no,no,7769
37,services,divorced,high.school,unknown,yes,yes,10489
38,admin.,married,university.degree,no,no,no,28744
30,entrepreneur,married,university.degree,no,no,no,9011
36,entrepreneur,married,university.degree,no,no,no,33422
37,services,married,high.school,no,no,no,27403
36,admin.,married,university.degree,no,yes,yes,9236
47,management,married,university.degree,no,yes,no,24196
52,services,married,high.school,unknown,no,no,31012
42,management,married,unknown,unknown,no,no,18059
64,admin.,married,high.school,no,no,no,19348
33,self-employed,single,university.degree,no,unknown,unknown,22133
59,blue-collar,married,basic.9y,unknown,yes,no,26991
30,admin.,married,university.degree,no,yes,no,5970
37,services,married,high.school,no,no,no,23897
45,self-employed,single,basic.9y,no,yes,no,28056
31,technician,single,unknown,no,yes,no,14756
50,entrepreneur,married,university.degree,unknown,yes,no,23651
55,admin.,divorced,unknown,unknown,no,no,10115
44,blue-collar,married,basic.6y,no,yes,no,29873
25,technician,single,basic.9y,no,yes,no,33935
38,services,married,high.school,unknown,no,no,14781
30,blue-collar,married,basic.9y,no,no,no,18027
35,technician,married,basic.6y,no,yes,yes,38181
64,housemaid,married,basic.4y,no,no,no,40119
50,housemaid,married,basic.4y,no,no,no,19917
51,management,married,basic.4y,no,no,no,27051
52,management,married,high.school,unknown,yes,no,10336
34,admin.,single,high.school,no,no,no,16112
51,admin.,divorced,high.school,unknown,no,no,30888
53,blue-collar,married,basic.9y,no,no,no,27731
35,admin.,married,high.school,no,yes,no,9125
33,admin.,single,university.degree,no,yes,no,3573
30,blue-collar,married,basic.6y,no,no,no,902
31,entrepreneur,single,university.degree,no,yes,no,18566
28,admin.,married,university.degree,no,yes,no,18578
31,admin.,single,university.degree,no,no,no,40979
47,services,married,high.school,unknown,no,no,23688
39,services,married,high.school,no,yes,yes,15530
38,blue-collar,married,basic.9y,no,yes,no,501
80,retired,divorced,basic.4y,no,yes,yes,36174
37,blue-collar,single,high.school,no,yes,yes,850
49,technician,married,high.school,unknown,no,no,12631
51,admin.,married,basic.9y,unknown,yes,no,9123
42,technician,married,university.degree,no,no,no,20904
35,blue-collar,married,basic.9y,unknown,yes,yes,25384
56,blue-collar,married,basic.4y,unknown,yes,no,27969
34,blue-collar,married,basic.6y,unknown,no,yes,10055
41,technician,married,professional.course,no,no,no,38450
36,blue-collar,married,high.school,no,no,no,27344
36,technician,married,professional.course,no,no,no,5424
53,blue-collar,married,basic.4y,unknown,no,no,26358
73,retired,married,basic.4y,no,yes,no,1428
53,admin.,divorced,university.degree,no,no,no,4653
31,management,single,university.degree,unknown,yes,no,30203
54,technician,married,professional.course,no,yes,no,25907
44,management,married,university.degree,no,yes,no,8591
32,technician,married,professional.course,no,no,no,10600
23,services,single,professional.course,unknown,no,no,37240
50,housemaid,married,unknown,no,yes,no,6306
39,admin.,married,university.degree,no,yes,no,24942
54,entrepreneur,married,basic.9y,no,no,yes,12144
31,blue-collar,married,basic.9y,no,no,no,29305
26,blue-collar,single,high.school,no,no,no,2795
34,admin.,married,university.degree,no,no,no,5204
37,admin.,single,university.degree,no,yes,no,24039
42,unemployed,married,high.school,unknown,yes,no,33823
34,blue-collar,married,basic.9y,no,no,no,27461
39,admin.,divorced,high.school,unknown,yes,no,21593
35,admin.,single,basic.4y,unknown,no,no,33965
27,services,single,professional.course,no,yes,no,34482
31,entrepreneur,single,basic.9y,no,no,no,9585
40,blue-collar,divorced,basic.9y,no,no,no,26022
35,admin.,married,high.school,no,yes,yes,15180
56,management,married,professional.course,no,yes,no,33057
32,services,married,basic.6y,no,yes,yes,34345
32,management,single,university.degree,no,no,no,845
31,blue-collar,married,basic.9y,no,no,no,27184
27,technician,single,professional.course,no,no,no,22775
30,admin.,single,university.degree,no,no,yes,30887
32,admin.,single,university.degree,no,no,no,32308
59,blue-collar,married,basic.9y,no,yes,yes,16147
45,blue-collar,married,basic.4y,unknown,yes,no,38948
50,management,single,university.degree,no,yes,no,31528
31,blue-collar,single,basic.9y,no,yes,no,39872
21,admin.,single,high.school,no,no,no,36691
38,technician,married,professional.course,unknown,yes,yes,5473
42,services,married,high.school,no,no,no,13028
30,technician,married,high.school,no,no,no,4660
54,management,married,basic.4y,no,no,no,13899
44,entrepreneur,married,basic.9y,no,no,no,37870
37,admin.,single,high.school,no,no,yes,21060
34,admin.,single,high.school,no,yes,no,19774
31,student,single,unknown,no,no,yes,11992
29,technician,single,professional.course,no,yes,yes,35818
59,admin.,married,university.degree,no,yes,no,34680
52,admin.,married,university.degree,unknown,yes,no,37971
34,technician,married,professional.course,no,yes,no,2447
41,technician,married,university.degree,no,yes,no,2319
33,technician,married,professional.course,no,no,no,3942
37,admin.,married,university.degree,unknown,yes,yes,31680
32,student,single,university.degree,no,yes,no,36014
38,blue-collar,married,basic.9y,unknown,no,no,10576
33,admin.,single,basic.9y,no,no,no,18237
32,blue-collar,married,basic.4y,unknown,yes,no,30270
27,services,single,high.school,no,no,no,20783
37,blue-collar,married,basic.9y,no,no,no,40994
51,technician,married,professional.course,no,yes,no,27997
26,self-employed,married,university.degree,no,yes,no,3144
36,blue-collar,married,basic.6y,no,yes,no,35894
29,technician,single,university.degree,unknown,no,yes,7555
28,management,married,university.degree,no,yes,no,5927
39,technician,single,university.degree,no,yes,yes,9776
59,retired,married,unknown,no,yes,yes,30741
48,entrepreneur,married,university.degree,no,yes,no,6363
54,blue-collar,divorced,basic.4y,no,no,no,39214
49,admin.,married,university.degree,unknown,no,no,22449
45,admin.,single,high.school,unknown,yes,yes,19726
57,management,married,university.degree,unknown,no,no,9779
42,blue-collar,married,basic.4y,unknown,no,no,28647
36,admin.,single,high.school,no,no,no,11220
42,management,married,university.degree,no,yes,no,34186
30,admin.,married,university.degree,no,yes,no,32196
29,admin.,single,university.degree,no,no,no,35095
37,technician,single,high.school,no,yes,yes,33731
50,technician,married,basic.6y,no,yes,no,6801
49,blue-collar,married,high.school,unknown,yes,yes,8352
27,admin.,single,professional.course,no,yes,yes,9162
38,admin.,single,basic.9y,no,no,yes,27612
25,blue-collar,single,basic.9y,no,no,no,15575
37,management,divorced,high.school,no,yes,no,36447
48,services,married,basic.6y,unknown,no,yes,28985
53,blue-collar,married,high.school,no,yes,no,15496
58,management,married,basic.6y,no,yes,no,4917
30,unemployed,single,basic.9y,no,yes,no,23817
34,admin.,married,university.degree,no,yes,no,12613
46,blue-collar,married,basic.9y,no,no,no,26016
37,admin.,single,basic.9y,no,yes,yes,3433
49,admin.,married,basic.9y,no,yes,no,22633
29,blue-collar,single,basic.4y,unknown,yes,no,1193
60,retired,married,professional.course,no,yes,no,5408
55,blue-collar,married,basic.9y,unknown,no,no,22523
26,blue-collar,married,basic.4y,no,no,no,13386
36,services,single,unknown,no,no,no,28952
31,services,married,basic.9y,no,yes,no,24827
28,admin.,single,university.degree,no,no,no,27661
38,student,single,unknown,unknown,no,no,20304
53,admin.,married,university.degree,no,yes,no,9866
32,admin.,single,university.degree,no,unknown,unknown,7307
56,self-employed,divorced,university.degree,unknown,no,no,8862
27,admin.,married,university.degree,no,no,no,26036
38,admin.,married,university.degree,no,no,no,3274
32,admin.,single,university.degree,no,no,yes,16683
50,self-employed,married,university.degree,no,yes,no,26395
24,admin.,single,university.degree,no,no,no,117
43,services,married,high.school,unknown,no,no,35921
41,technician,single,university.degree,unknown,yes,no,38719
33,blue-collar,married,basic.6y,no,yes,no,32478
34,blue-collar,married,basic.6y,unknown,yes,no,27957
29,services,single,high.school,no,yes,yes,21468
57,retired,divorced,basic.9y,no,yes,no,12076
44,blue-collar,married,basic.9y,unknown,yes,no,3394
34,services,single,high.school,no,no,no,39243
33,admin.,married,high.school,unknown,no,no,34432
29,self-employed,married,basic.6y,unknown,no,no,37473
35,blue-collar,married,unknown,no,yes,no,22235
30,admin.,married,university.degree,no,yes,no,26832
25,student,single,unknown,unknown,yes,no,12329
36,blue-collar,divorced,basic.9y,unknown,no,no,9327
33,entrepreneur,married,university.degree,no,no,yes,23081
32,blue-collar,married,basic.9y,no,yes,no,19116
47,technician,divorced,professional.course,no,no,yes,14935
21,services,single,high.school,no,yes,no,37735
35,admin.,married,university.degree,no,yes,yes,23733
39,entrepreneur,married,university.degree,no,unknown,unknown,6687
44,blue-collar,married,basic.9y,no,no,no,22547
36,technician,married,professional.course,no,yes,no,8054
34,admin.,single,university.degree,unknown,yes,no,9900
46,admin.,married,high.school,no,yes,no,34041
55,blue-collar,single,basic.9y,unknown,no,yes,9268
56,blue-collar,divorced,basic.9y,no,yes,yes,11923
38,blue-collar,married,basic.6y,unknown,no,no,38304
29,admin.,married,high.school,no,no,no,22102
47,management,divorced,university.degree,no,yes,no,35417
39,services,married,high.school,no,yes,yes,25198
40,blue-collar,divorced,basic.9y,no,no,no,8981
58,unknown,married,basic.4y,no,yes,no,6975
33,services,divorced,high.school,no,yes,no,8061
25,technician,single,professional.course,no,yes,no,3479
38,entrepreneur,divorced,basic.9y,no,no,no,38686
52,retired,married,basic.4y,unknown,unknown,unknown,5254
44,blue-collar,single,basic.6y,no,no,no,14864
29,admin.,single,university.degree,no,yes,no,12792
51,technician,married,unknown,no,yes,no,10572
22,services,married,high.school,no,yes,no,18902
77,retired,married,high.school,no,yes,no,19970
51,unemployed,married,basic.9y,unknown,no,no,17744
32,technician,single,university.degree,no,yes,no,7725
33,management,married,basic.6y,no,no,no,39326
39,blue-collar,married,basic.6y,unknown,yes,no,9512
35,unemployed,married,basic.9y,unknown,no,no,12821
58,retired,married,unknown,unknown,yes,no,12904
31,management,married,university.degree,no,yes,no,10946
47,blue-collar,married,basic.4y,unknown,no,no,30821
41,entrepreneur,divorced,university.degree,no,yes,no,33349
41,admin.,married,university.degree,no,yes,no,31179
48,technician,divorced,professional.course,no,yes,yes,22363
35,entrepreneur,divorced,university.degree,no,no,no,13965
43,blue-collar,married,basic.9y,no,no,no,24762
54,technician,divorced,professional.course,no,yes,yes,17176
56,blue-collar,married,basic.6y,unknown,yes,no,30260
31,entrepreneur,divorced,basic.4y,no,no,no,1083
31,technician,married,high.school,no,no,no,11244
46,blue-collar,married,basic.9y,unknown,no,yes,25416
31,admin.,married,high.school,no,no,no,39668
40,blue-collar,single,basic.4y,unknown,no,no,17410
32,admin.,single,university.degree,no,no,no,27765
51,blue-collar,divorced,basic.4y,no,no,no,26403
37,admin.,married,university.degree,no,no,yes,30447
39,management,married,university.degree,unknown,no,no,37177
44,blue-collar,married,basic.9y,unknown,yes,no,14757
45,blue-collar,married,basic.9y,unknown,yes,no,25112
52,services,married,high.school,no,no,yes,17006
51,retired,married,basic.9y,unknown,yes,no,3563
41,admin.,single,basic.6y,no,unknown,unknown,9834
50,admin.,divorced,basic.9y,no,no,no,13706
60,admin.,married,high.school,unknown,no,no,34809
32,admin.,single,high.school,unknown,yes,no,25232
33,blue-collar,single,basic.9y,no,no,no,3249
45,admin.,married,high.school,no,no,no,40516
59,admin.,divorced,high.school,unknown,no,yes,29588
31,blue-collar,single,basic.4y,no,yes,no,35916
48,blue-collar,married,professional.course,no,no,no,19823
42,technician,married,professional.course,no,yes,no,20070
25,student,single,university.degree,no,no,yes,39133
23,admin.,single,professional.course,no,no,no,13803
49,admin.,single,university.degree,no,no,no,17107
32,management,single,university.degree,no,yes,no,38393
54,retired,divorced,basic.4y,no,yes,no,14052
32,technician,single,high.school,no,no,no,10698
43,blue-collar,married,basic.9y,no,no,no,34608
31,technician,married,university.degree,no,yes,no,21710
34,technician,single,professional.course,no,no,no,30462
36,admin.,unknown,university.degree,no,no,no,9590
31,admin.,single,university.degree,no,yes,no,21414
38,technician,single,professional.course,no,yes,yes,30125
41,management,married,university.degree,no,no,no,30161
54,admin.,married,university.degree,unknown,no,no,32600
39,services,married,high.school,no,yes,no,37562
57,technician,divorced,professional.course,no,yes,no,39073
32,blue-collar,single,professional.course,no,no,no,23779
47,technician,divorced,high.school,no,yes,no,34461
41,self-employed,married,basic.4y,no,no,no,24445
26,blue-collar,single,basic.4y,no,no,yes,1054
50,entrepreneur,married,basic.9y,no,no,no,31241
37,admin.,married,high.school,no,no,no,19128
36,management,married,university.degree,no,yes,no,3353
57,entrepreneur,married,high.school,no,no,no,32260
33,management,married,university.degree,no,yes,no,21256
44,housemaid,married,high.school,no,yes,yes,6342
24,student,single,basic.9y,no,unknown,unknown,7466
35,entrepreneur,married,university.degree,no,no,no,4185
39,blue-collar,divorced,basic.6y,unknown,no,no,14085
49,blue-collar,married,unknown,unknown,yes,no,25701
32,technician,married,professional.course,no,yes,no,13113
28,blue-collar,single,unknown,no,no,no,22702
32,technician,married,basic.9y,no,no,no,36047
27,blue-collar,married,basic.4y,no,yes,no,12963
39,blue-collar,married,basic.6y,unknown,no,no,8258
25,admin.,married,unknown,no,no,no,16944
26,blue-collar,single,high.school,no,yes,no,11257
31,student,single,university.degree,unknown,no,no,1230
50,admin.,married,high.school,no,no,no,22134
37,housemaid,married,university.degree,no,no,no,30655
41,blue-collar,married,basic.6y,no,no,no,12320
33,technician,married,professional.course,no,yes,no,14662
56,admin.,married,high.school,no,yes,no,31437
57,retired,married,basic.4y,no,yes,yes,16669
31,blue-collar,married,basic.9y,unknown,no,no,40983
37,blue-collar,married,basic.6y,no,yes,yes,10148
30,admin.,single,high.school,no,yes,no,31126
37,blue-collar,married,basic.9y,unknown,no,no,22381
59,admin.,married,high.school,no,no,no,36514
70,retired,married,basic.4y,no,no,no,6967
42,admin.,married,high.school,unknown,no,yes,11462
31,management,married,university.degree,no,yes,yes,15862
37,blue-collar,single,professional.course,no,yes,no,16871
48,entrepreneur,married,basic.9y,no,yes,no,498
39,technician,married,professional.course,no,yes,no,23445
56,housemaid,married,high.school,no,no,no,38763
38,admin.,single,basic.9y,unknown,yes,no,2600
50,blue-collar,married,basic.9y,no,no,no,3263
32,management,single,university.degree,no,no,no,37328
33,technician,single,professional.course,no,yes,no,37158
45,technician,married,professional.course,no,no,no,2153
36,admin.,single,university.degree,no,no,no,29301
54,management,divorced,university.degree,no,yes,no,12788
51,unemployed,married,high.school,unknown,yes,no,24491
58,unemployed,divorced,professional.course,no,no,yes,7536
35,admin.,single,university.degree,no,yes,no,6946
37,admin.,married,university.degree,unknown,no,yes,23802
44,blue-collar,married,basic.9y,unknown,no,no,15007
41,blue-collar,divorced,basic.4y,no,yes,no,10852
34,technician,divorced,professional.course,no,yes,no,17032
29,unemployed,married,basic.4y,no,no,no,28247
32,technician,married,high.school,no,no,no,1716
49,technician,married,unknown,no,no,no,37277
38,blue-collar,married,basic.9y,no,no,no,38881
25,admin.,single,university.degree,no,yes,no,3375
64,retired,married,university.degree,no,no,no,8064
41,technician,married,high.school,no,no,no,6597
52,entrepreneur,married,basic.6y,no,yes,no,37624
29,admin.,single,high.school,no,yes,no,25834
44,self-employed,married,professional.course,no,unknown,unknown,6777
69,retired,married,professional.course,no,yes,no,2851
42,entrepreneur,married,university.degree,no,yes,no,40697
32,technician,single,university.degree,no,no,no,26834
40,technician,single,university.degree,no,no,no,23581
29,blue-collar,married,basic.6y,no,no,no,23043
33,unemployed,divorced,professional.course,no,no,no,13170
33,unemployed,divorced,professional.course,no,no,no,39467
27,blue-collar,married,basic.9y,no,no,no,32327
39,management,married,basic.6y,no,yes,no,4960
50,admin.,married,high.school,no,no,yes,34274
41,admin.,married,university.degree,unknown,yes,no,11092
31,admin.,divorced,university.degree,no,yes,no,34262
59,retired,single,high.school,no,no,no,25675
29,admin.,single,university.degree,no,yes,no,4738
33,blue-collar,married,basic.9y,unknown,yes,no,32237
31,services,single,high.school,no,yes,no,9008
43,blue-collar,married,basic.9y,no,no,no,32911
39,management,married,high.school,no,no,no,32210
59,retired,married,basic.6y,no,yes,no,38501
39,blue-collar,married,basic.6y,no,yes,no,18712
29,technician,single,university.degree,no,no,no,12663
32,admin.,married,university.degree,no,yes,no,10387
34,blue-collar,married,basic.6y,unknown,yes,no,23383
45,management,married,university.degree,no,no,no,29954
37,services,married,high.school,no,no,no,26523
50,self-employed,married,high.school,no,yes,no,13566
52,blue-collar,divorced,basic.4y,no,yes,no,9610
54,admin.,married,university.degree,unknown,yes,no,31185
36,admin.,single,university.degree,no,yes,no,22193
42,technician,married,professional.course,no,yes,no,19051
26,admin.,married,high.school,no,no,no,1507
31,technician,single,high.school,no,no,no,41148
41,admin.,married,university.degree,no,yes,no,12771
38,blue-collar,single,basic.9y,no,yes,no,18863
24,services,single,high.school,no,no,no,4141
30,blue-collar,divorced,basic.9y,no,yes,no,37910
32,admin.,married,university.degree,no,no,no,34211
59,blue-collar,married,basic.4y,no,yes,no,25197
33,entrepreneur,married,university.degree,no,no,no,32036
33,unemployed,married,university.degree,no,yes,no,29649
32,services,married,basic.4y,unknown,no,no,31183
38,technician,divorced,high.school,no,no,no,29291
38,admin.,divorced,high.school,no,yes,no,15560
32,unemployed,single,high.school,unknown,yes,no,5847
39,admin.,married,university.degree,no,yes,no,12890
52,services,divorced,unknown,unknown,yes,yes,506
45,self-employed,married,basic.6y,unknown,no,no,1061
35,student,single,university.degree,unknown,no,no,27490
53,technician,married,professional.course,unknown,no,no,20774
37,entrepreneur,married,professional.course,no,no,no,9629
85,retired,single,professional.course,no,no,no,15239
42,technician,divorced,professional.course,no,no,no,36589
33,admin.,divorced,high.school,no,yes,no,12859
51,blue-collar,married,basic.9y,no,yes,no,33903
45,blue-collar,married,basic.6y,no,no,no,15877
32,admin.,married,university.degree,no,yes,no,2922
38,management,married,university.degree,no,yes,no,8368
37,housemaid,divorced,high.school,no,no,no,32269
36,entrepreneur,married,basic.9y,no,no,no,32061
54,management,married,university.degree,no,yes,yes,18276
48,admin.,divorced,high.school,no,yes,no,17374
41,housemaid,married,basic.6y,no,no,no,22617
33,admin.,married,university.degree,no,no,no,35719
26,admin.,married,high.school,no,yes,yes,26906
44,technician,married,professional.course,unknown,yes,no,35754
46,housemaid,married,basic.4y,unknown,yes,no,16833
59,housemaid,married,basic.4y,no,yes,no,31600
41,admin.,married,university.degree,no,yes,yes,38125
36,services,married,high.school,unknown,no,no,3523
36,blue-collar,married,basic.9y,unknown,yes,no,37844
37,blue-collar,married,basic.4y,no,no,no,27245
39,technician,married,professional.course,unknown,yes,no,39080
49,admin.,married,unknown,unknown,no,no,6604
41,blue-collar,married,basic.9y,unknown,no,no,14205
32,admin.,single,university.degree,no,yes,yes,7746
55,retired,divorced,professional.course,no,no,no,29870
31,blue-collar,married,basic.6y,no,no,yes,2135
37,self-employed,divorced,high.school,no,no,no,18470
51,blue-collar,married,basic.9y,no,yes,no,31840
60,management,married,university.degree,unknown,no,no,22444
53,retired,divorced,high.school,unknown,yes,no,3634
31,technician,married,high.school,no,yes,yes,11813
53,blue-collar,married,basic.9y,no,yes,no,8796
39,admin.,married,high.school,no,unknown,unknown,22803
46,housemaid,married,basic.4y,no,no,no,17150
33,services,unknown,high.school,no,no,no,20834
23,services,married,basic.9y,no,yes,no,7434
31,admin.,single,university.degree,no,no,no,33711
27,services,single,high.school,no,no,no,6071
35,services,single,basic.9y,no,no,no,4698
58,retired,married,professional.course,no,yes,yes,23850
47,technician,married,high.school,unknown,yes,no,13996
57,self-employed,married,university.degree,unknown,unknown,unknown,25995
60,blue-collar,divorced,basic.4y,unknown,no,no,19690
53,admin.,married,university.degree,unknown,yes,no,34633
26,technician,single,professional.course,no,yes,no,32814
33,entrepreneur,married,high.school,no,yes,no,11382
51,blue-collar,married,high.school,no,no,no,1962
34,technician,single,university.degree,no,yes,no,24431
39,entrepreneur,single,university.degree,no,yes,yes,21442
