contact,month,day_of_week,campaign,pdays,previous,id
cellular,jul,mon,1,999,0,5303
cellular,jul,tue,2,999,0,30414
cellular,nov,wed,1,999,0,15474
telephone,may,fri,2,999,0,27118
cellular,nov,tue,1,999,1,5698
cellular,sep,fri,3,999,0,18375
cellular,may,thu,3,999,1,11644
cellular,jul,wed,1,999,0,618
cellular,sep,wed,2,999,0,21186
cellular,aug,thu,1,999,0,3668
cellular,aug,mon,1,999,0,31784
cellular,jul,thu,3,999,0,34440
cellular,may,wed,1,999,0,35932
telephone,jun,fri,3,999,0,40389
cellular,nov,mon,2,999,0,29997
cellular,apr,thu,1,999,0,38478
telephone,may,mon,10,999,0,9637
cellular,aug,mon,4,999,0,24886
telephone,jun,fri,6,999,0,37034
cellular,aug,wed,2,999,1,33612
cellular,aug,tue,1,999,0,28934
cellular,nov,wed,1,999,0,4447
telephone,jul,thu,7,999,0,17328
telephone,may,wed,2,999,0,14506
telephone,jul,tue,4,999,0,561
cellular,nov,fri,3,999,0,5137
telephone,jun,tue,1,999,0,7185
cellular,jul,fri,1,999,0,31060
telephone,may,fri,1,999,0,27964
cellular,aug,tue,2,999,0,7769
cellular,apr,mon,1,999,1,10489
cellular,aug,thu,2,999,0,28744
telephone,oct,fri,1,999,0,9011
telephone,may,mon,4,999,0,33422
cellular,apr,fri,2,1,1,27403
telephone,jun,fri,2,999,0,9236
cellular,may,thu,6,999,0,24196
cellular,aug,mon,2,999,0,31012
telephone,may,tue,3,999,0,18059
cellular,jul,thu,1,999,0,19348
telephone,jun,fri,5,999,0,22133
cellular,jul,mon,4,999,0,26991
cellular,apr,tue,1,999,0,5970
telephone,may,thu,3,999,0,23897
cellular,apr,wed,1,999,0,28056
cellular,aug,mon,2,9,3,14756
cellular,nov,mon,2,999,0,23651
cellular,may,mon,2,999,0,10115
cellular,may,thu,9,999,0,29873
cellular,may,fri,4,999,0,33935
telephone,jul,wed,1,999,0,14781
telephone,jun,thu,29,999,0,18027
telephone,jun,thu,1,999,0,38181
cellular,dec,thu,1,999,0,40119
cellular,nov,tue,2,999,0,19917
telephone,may,wed,1,999,0,27051
telephone,may,fri,4,999,0,10336
cellular,may,fri,9,999,0,16112
telephone,jun,wed,5,999,0,30888
telephone,may,thu,2,999,1,27731
cellular,jul,wed,2,15,1,9125
telephone,aug,thu,2,999,0,3573
telephone,jun,tue,1,999,0,902
cellular,aug,fri,3,999,0,18566
cellular,jun,thu,1,999,1,18578
cellular,mar,thu,2,999,0,40979
cellular,may,wed,1,999,0,23688
cellular,nov,mon,3,999,0,15530
cellular,nov,tue,1,999,0,501
cellular,apr,wed,2,999,0,36174
telephone,may,wed,2,999,0,850
cellular,may,mon,4,999,1,12631
cellular,jul,wed,2,999,0,9123
cellular,aug,fri,1,999,0,20904
telephone,jun,mon,1,999,0,25384
telephone,jun,wed,1,999,0,27969
telephone,may,thu,2,999,0,10055
cellular,aug,wed,7,999,0,38450
telephone,jun,fri,4,999,0,27344
telephone,jun,fri,3,999,0,5424
cellular,nov,fri,2,999,0,26358
cellular,apr,mon,1,6,1,1428
telephone,jun,fri,5,999,0,4653
telephone,jun,fri,4,999,0,30203
telephone,jun,tue,2,999,0,25907
cellular,apr,thu,2,999,0,8591
cellular,apr,mon,2,999,1,10600
telephone,jun,thu,1,999,0,37240
cellular,jul,wed,2,999,0,6306
cellular,may,mon,7,999,0,24942
telephone,jun,fri,6,999,0,12144
cellular,nov,wed,1,999,0,29305
telephone,nov,fri,1,999,0,2795
cellular,may,fri,1,999,0,5204
cellular,jul,fri,2,6,3,24039
telephone,jun,thu,1,999,0,33823
telephone,jun,mon,8,999,0,27461
cellular,jul,wed,1,999,0,21593
telephone,may,wed,2,999,0,33965
cellular,jun,tue,1,999,0,34482
telephone,may,tue,6,999,0,9585
cellular,nov,fri,1,999,0,26022
cellular,jun,tue,1,999,1,15180
cellular,may,mon,2,999,1,33057
telephone,jul,tue,1,999,0,34345
cellular,apr,mon,1,999,0,845
telephone,jun,mon,2,999,0,27184
cellular,may,tue,1,999,0,22775
cellular,aug,wed,2,999,0,30887
cellular,jul,mon,1,999,0,32308
cellular,may,tue,1,999,0,16147
cellular,may,tue,2,999,1,38948
cellular,nov,tue,2,999,1,31528
telephone,may,tue,1,999,0,39872
cellular,jun,mon,1,999,0,36691
cellular,aug,wed,4,999,0,5473
cellular,apr,fri,2,999,0,13028
cellular,aug,wed,1,999,0,4660
telephone,may,fri,1,999,0,13899
telephone,jun,fri,4,999,0,37870
cellular,jul,tue,6,999,0,21060
cellular,nov,mon,2,8,2,19774
cellular,may,mon,3,999,0,11992
telephone,nov,wed,1,999,0,35818
cellular,aug,wed,3,999,0,34680
cellular,nov,fri,1,999,0,37971
cellular,nov,wed,1,999,0,2447
telephone,jun,tue,4,999,0,2319
telephone,may,mon,2,999,0,3942
cellular,aug,mon,2,999,0,31680
telephone,jun,wed,12,999,0,36014
telephone,jun,fri,5,999,0,10576
cellular,may,wed,4,999,0,18237
telephone,jun,wed,8,999,0,30270
cellular,jul,mon,3,999,0,20783
cellular,aug,tue,2,999,0,40994
cellular,may,mon,4,999,0,27997
telephone,jun,thu,2,999,0,3144
cellular,nov,wed,1,999,0,35894
cellular,aug,tue,2,999,0,7555
telephone,jul,wed,2,999,0,5927
cellular,apr,mon,6,999,1,9776
cellular,aug,fri,2,999,0,30741
cellular,apr,thu,1,2,1,6363
cellular,jul,mon,2,999,0,39214
cellular,aug,thu,2,999,0,22449
telephone,may,wed,1,999,0,19726
cellular,aug,wed,2,999,0,9779
telephone,may,wed,8,999,0,28647
cellular,may,wed,1,999,0,11220
cellular,may,fri,1,999,0,34186
telephone,jul,wed,8,999,0,32196
telephone,jun,mon,3,999,0,35095
telephone,jun,fri,1,999,0,33731
telephone,jun,fri,2,999,0,6801
cellular,may,wed,2,999,0,8352
telephone,apr,thu,3,999,0,9162
telephone,jun,fri,3,999,0,27612
cellular,sep,mon,1,999,2,15575
telephone,may,mon,3,999,0,36447
telephone,jun,mon,5,999,0,28985
cellular,jul,mon,4,999,0,15496
telephone,may,mon,2,999,0,4917
cellular,nov,tue,1,999,0,23817
cellular,aug,wed,1,10,2,12613
cellular,jul,mon,3,999,0,26016
cellular,may,wed,1,999,0,3433
cellular,aug,mon,4,999,0,22633
cellular,may,fri,1,999,0,1193
telephone,jun,thu,2,999,0,5408
cellular,jul,mon,3,999,0,22523
cellular,may,tue,1,999,0,13386
telephone,may,tue,1,999,0,28952
telephone,may,thu,2,999,0,24827
telephone,jun,wed,3,999,0,27661
cellular,jul,mon,3,999,0,20304
cellular,aug,mon,1,999,1,9866
cellular,jul,tue,3,999,0,7307
telephone,apr,fri,1,999,0,8862
cellular,jul,fri,5,999,0,26036
cellular,aug,tue,1,999,0,3274
telephone,jun,wed,1,999,0,16683
telephone,jun,fri,2,999,0,26395
cellular,aug,fri,1,999,2,117
telephone,may,wed,1,999,0,35921
telephone,may,thu,1,999,0,38719
cellular,apr,wed,2,999,0,32478
telephone,may,wed,2,999,0,27957
telephone,jun,mon,2,999,0,21468
telephone,may,tue,5,999,1,12076
telephone,jun,wed,5,999,0,3394
cellular,nov,wed,1,999,1,39243
cellular,apr,fri,6,999,0,34432
telephone,jun,fri,11,999,0,37473
cellular,may,mon,8,10,1,22235
cellular,apr,thu,1,999,0,26832
cellular,aug,fri,1,15,2,12329
telephone,jun,thu,2,999,0,9327
telephone,jun,thu,2,999,0,23081
telephone,nov,tue,1,999,0,19116
cellular,jul,fri,7,999,0,14935
telephone,jul,wed,1,999,0,37735
cellular,aug,thu,7,999,0,23733
cellular,nov,fri,4,999,0,6687
cellular,may,fri,1,999,0,22547
cellular,aug,fri,1,999,0,8054
cellular,aug,wed,1,999,0,9900
cellular,apr,thu,1,999,0,34041
cellular,jul,tue,3,999,0,9268
cellular,jul,mon,3,999,0,11923
cellular,may,thu,2,999,1,38304
cellular,nov,thu,2,999,0,22102
telephone,may,fri,3,999,0,35417
cellular,may,tue,1,999,0,25198
telephone,jul,wed,3,999,0,8981
telephone,may,wed,1,999,0,6975
telephone,jun,fri,4,999,0,8061
cellular,may,tue,5,999,0,3479
cellular,nov,wed,2,999,0,38686
cellular,jul,thu,4,999,0,5254
telephone,jun,fri,3,999,0,14864
cellular,aug,tue,1,999,0,12792
telephone,jun,fri,3,999,0,10572
cellular,may,fri,7,999,0,18902
cellular,apr,thu,7,999,0,19970
telephone,may,tue,1,999,0,17744
cellular,aug,thu,2,999,0,7725
cellular,jul,wed,5,999,0,39326
cellular,jul,tue,5,999,0,9512
telephone,jul,thu,1,999,0,12821
telephone,jul,mon,1,999,0,12904
cellular,aug,mon,5,999,0,10946
telephone,may,thu,1,999,1,30821
cellular,jul,tue,5,999,0,33349
cellular,aug,mon,4,999,0,31179
cellular,jul,wed,2,999,0,22363
cellular,nov,wed,4,999,0,13965
cellular,may,fri,1,999,0,24762
cellular,jul,tue,14,999,0,17176
cellular,jul,thu,21,999,0,30260
cellular,nov,tue,2,999,0,1083
cellular,aug,fri,7,999,0,11244
telephone,may,wed,4,999,0,25416
cellular,aug,thu,2,999,0,39668
cellular,apr,wed,2,999,1,17410
cellular,may,fri,5,999,0,27765
telephone,jun,mon,2,999,0,26403
cellular,jul,thu,3,999,0,30447
cellular,may,wed,2,999,0,37177
cellular,jul,mon,1,999,0,14757
cellular,apr,tue,3,999,1,25112
telephone,jun,mon,6,999,0,17006
cellular,jul,fri,1,999,0,3563
telephone,may,wed,1,999,0,9834
cellular,jul,fri,2,999,0,13706
cellular,jul,tue,1,999,0,34809
cellular,jul,mon,2,999,0,25232
telephone,may,wed,2,999,0,3249
telephone,may,tue,2,999,0,40516
cellular,jul,mon,3,999,0,29588
cellular,jul,thu,1,999,0,35916
cellular,jul,thu,25,999,0,19823
cellular,jul,fri,2,999,0,20070
cellular,jun,thu,1,999,0,39133
cellular,jul,wed,1,999,0,13803
cellular,jul,tue,6,999,0,17107
cellular,aug,thu,1,999,0,38393
telephone,may,tue,2,999,0,14052
cellular,jul,mon,1,999,0,10698
telephone,may,tue,1,999,0,34608
cellular,aug,mon,3,999,0,21710
telephone,jun,thu,8,999,0,30462
cellular,aug,wed,1,999,0,9590
telephone,nov,wed,2,999,0,21414
cellular,may,mon,9,999,0,30125
cellular,nov,wed,1,999,1,30161
cellular,jul,fri,3,999,0,32600
cellular,nov,fri,3,999,1,37562
cellular,nov,mon,4,999,0,39073
cellular,may,tue,6,999,1,23779
cellular,aug,wed,5,999,0,34461
telephone,jun,mon,1,999,0,24445
cellular,may,thu,1,999,1,1054
telephone,may,thu,6,999,0,31241
cellular,jun,wed,3,999,0,19128
cellular,jun,thu,1,999,1,3353
cellular,nov,thu,2,999,0,32260
cellular,nov,mon,2,999,0,21256
cellular,jul,mon,1,999,0,6342
cellular,sep,tue,1,999,0,7466
cellular,may,fri,2,999,0,4185
telephone,may,fri,2,999,0,14085
telephone,may,tue,1,999,0,25701
cellular,may,tue,9,999,0,13113
cellular,jul,thu,1,999,0,22702
cellular,sep,wed,1,6,5,36047
telephone,may,mon,5,999,0,12963
cellular,jul,wed,3,999,0,8258
telephone,jun,wed,2,999,0,16944
telephone,may,fri,1,999,0,11257
telephone,may,mon,2,999,0,1230
telephone,may,thu,3,999,0,22134
cellular,oct,thu,2,13,2,30655
telephone,jul,wed,5,999,0,12320
cellular,may,mon,2,999,0,14662
telephone,jun,fri,20,999,0,31437
telephone,apr,tue,4,999,0,16669
cellular,jul,tue,4,999,0,40983
cellular,mar,thu,2,999,0,10148
cellular,nov,fri,1,999,0,31126
telephone,may,tue,3,999,0,22381
cellular,may,wed,1,999,0,36514
cellular,sep,tue,1,3,2,6967
cellular,jul,thu,5,999,0,11462
cellular,nov,tue,1,999,1,15862
telephone,may,thu,3,999,0,16871
cellular,jul,wed,7,999,0,498
telephone,jun,thu,2,999,0,23445
cellular,may,mon,8,999,0,38763
telephone,jun,wed,5,999,0,2600
cellular,aug,mon,2,999,0,3263
telephone,may,tue,2,999,0,37328
cellular,may,wed,1,999,1,37158
telephone,nov,thu,2,999,0,2153
cellular,may,mon,1,999,0,29301
telephone,may,mon,2,999,0,12788
telephone,jun,wed,2,999,0,24491
cellular,aug,thu,1,999,0,7536
cellular,may,fri,1,12,1,6946
cellular,aug,thu,1,999,0,23802
cellular,aug,tue,1,999,0,15007
cellular,apr,thu,3,999,1,10852
cellular,apr,fri,1,999,1,17032
telephone,dec,thu,1,999,0,28247
cellular,may,fri,1,999,1,1716
cellular,apr,fri,3,999,0,37277
telephone,may,fri,2,999,0,38881
telephone,aug,thu,1,999,0,3375
telephone,aug,mon,1,999,0,8064
cellular,aug,thu,4,999,0,6597
cellular,may,mon,1,999,0,37624
cellular,may,mon,1,999,0,25834
cellular,aug,fri,3,999,0,6777
telephone,aug,mon,1,999,0,2851
cellular,may,mon,1,999,0,40697
cellular,jun,mon,1,999,0,26834
cellular,aug,tue,1,999,0,23581
telephone,jun,mon,3,999,0,23043
cellular,aug,mon,4,999,0,13170
cellular,aug,mon,3,999,0,39467
telephone,may,thu,1,999,0,32327
telephone,may,thu,2,999,0,4960
telephone,jun,fri,1,999,0,34274
cellular,nov,tue,1,999,0,11092
cellular,aug,thu,1,999,0,34262
telephone,may,fri,4,999,0,25675
cellular,jul,wed,6,999,0,4738
cellular,may,thu,1,999,0,32237
telephone,may,thu,12,999,0,9008
cellular,jul,fri,1,999,0,32911
cellular,aug,fri,3,999,0,32210
cellular,jul,tue,1,999,0,38501
telephone,jun,thu,1,999,0,18712
telephone,may,wed,1,999,0,12663
cellular,aug,wed,1,999,0,10387
cellular,jul,tue,4,999,0,23383
cellular,aug,mon,2,999,0,29954
telephone,may,fri,2,999,0,26523
cellular,jul,tue,6,999,0,13566
cellular,jul,wed,8,999,0,9610
cellular,jul,thu,43,999,0,31185
cellular,may,tue,2,999,0,22193
telephone,nov,mon,1,999,0,19051
cellular,jul,thu,5,999,0,1507
cellular,aug,wed,2,999,0,41148
cellular,aug,thu,9,999,0,12771
telephone,may,mon,2,999,0,18863
cellular,jul,mon,4,999,0,4141
telephone,may,wed,1,999,0,37910
cellular,sep,thu,1,999,1,34211
telephone,may,wed,1,999,0,25197
cellular,aug,wed,7,999,0,32036
cellular,aug,fri,8,999,0,29649
cellular,nov,thu,2,999,0,31183
cellular,aug,mon,2,999,0,29291
telephone,may,fri,5,999,0,15560
telephone,jun,fri,1,999,0,5847
cellular,jul,mon,4,999,0,12890
telephone,may,fri,1,999,0,506
telephone,may,thu,1,999,0,1061
telephone,may,tue,5,999,0,27490
telephone,may,wed,2,999,0,20774
cellular,nov,fri,7,999,0,9629
cellular,mar,fri,7,7,2,15239
cellular,apr,tue,1,999,1,36589
cellular,jul,fri,1,999,0,12859
telephone,jun,tue,6,999,0,33903
cellular,nov,thu,3,999,0,15877
telephone,may,mon,1,999,0,2922
cellular,nov,thu,1,999,0,8368
cellular,sep,wed,1,999,0,32269
cellular,apr,fri,1,999,0,32061
cellular,may,fri,1,999,0,18276
telephone,may,thu,2,999,0,17374
telephone,may,wed,1,999,0,22617
cellular,nov,fri,1,999,0,35719
cellular,jul,wed,5,999,0,26906
telephone,may,fri,7,999,0,35754
cellular,jul,mon,8,999,0,16833
telephone,may,wed,1,999,0,31600
telephone,jun,wed,3,999,0,38125
telephone,jun,mon,2,999,0,3523
cellular,jul,thu,1,999,0,37844
cellular,jul,thu,2,999,0,27245
cellular,aug,wed,1,999,0,39080
cellular,jul,mon,3,999,0,6604
telephone,jun,thu,2,999,0,14205
telephone,jun,fri,2,999,0,7746
telephone,jun,wed,1,999,0,29870
telephone,may,wed,1,999,0,2135
telephone,may,tue,1,999,0,18470
cellular,nov,wed,2,999,1,31840
telephone,jun,mon,6,999,0,22444
cellular,jul,tue,1,999,0,3634
cellular,nov,thu,1,999,0,11813
telephone,may,fri,1,999,0,8796
cellular,may,mon,2,999,2,22803
cellular,aug,tue,4,999,0,17150
telephone,jun,fri,21,999,0,20834
telephone,may,fri,1,999,0,7434
telephone,may,wed,8,999,0,33711
cellular,jul,fri,8,999,0,6071
cellular,jul,fri,5,999,0,4698
telephone,jun,mon,2,999,0,23850
cellular,nov,fri,2,999,0,13996
telephone,jul,mon,1,999,0,25995
cellular,jul,wed,3,999,0,19690
cellular,sep,tue,5,999,0,34633
cellular,jun,tue,2,3,1,32814
cellular,nov,wed,2,999,0,11382
cellular,jul,mon,1,999,0,1962
cellular,aug,tue,2,999,0,24431
cellular,may,fri,1,999,1,21442
telephone,may,thu,3,999,0,12875
cellular,aug,fri,1,999,0,29609
cellular,may,thu,1,999,0,4240
cellular,jul,fri,2,999,0,38697
cellular,nov,wed,1,999,1,35017
cellular,jul,thu,1,999,0,18434
cellular,aug,wed,9,999,0,36789
cellular,may,wed,2,999,1,37662
telephone,jun,tue,1,999,0,6286
cellular,nov,fri,2,999,0,4331
cellular,jul,thu,2,999,0,13339
cellular,jun,tue,1,999,0,22342
cellular,aug,tue,2,999,0,11423
cellular,oct,fri,1,999,0,32148
cellular,aug,fri,6,999,0,14291
telephone,mar,thu,3,999,0,19358
cellular,apr,mon,2,999,1,39800
cellular,aug,tue,3,999,0,13798
cellular,nov,mon,2,999,0,38691
telephone,sep,tue,1,999,0,17463
cellular,jul,fri,2,999,0,26641
telephone,jul,tue,1,999,0,1565
telephone,may,wed,3,999,0,34547
cellular,aug,mon,3,999,0,35576
telephone,jun,tue,2,999,0,5156
cellular,aug,thu,2,9,4,36609
telephone,jun,fri,2,999,0,17947
telephone,may,thu,2,999,0,3119
telephone,may,fri,3,999,0,34154
cellular,aug,fri,2,999,0,4618
cellular,aug,mon,3,999,0,16697
cellular,oct,tue,1,999,1,38783
cellular,apr,fri,1,999,0,1205
telephone,jun,mon,2,999,0,36654
cellular,aug,thu,1,999,0,26913
cellular,sep,thu,1,999,0,14515
cellular,jul,tue,4,999,0,5978
telephone,mar,tue,1,3,1,18295
cellular,jul,thu,2,999,0,11927
cellular,may,thu,8,999,1,9558
cellular,may,mon,2,999,1,14814
cellular,aug,wed,2,999,0,1450
telephone,may,fri,4,999,1,9043
telephone,may,fri,1,999,0,26583
cellular,jul,fri,1,999,0,12251
telephone,may,thu,1,999,0,11685
cellular,may,thu,5,999,1,2877
cellular,aug,tue,3,999,0,41175
telephone,may,thu,1,999,0,28729
cellular,apr,thu,1,1,3,31057
telephone,may,tue,2,999,0,40416
telephone,jun,thu,9,999,0,39483
telephone,jun,fri,2,999,0,40967
telephone,may,mon,2,999,0,10714
cellular,aug,tue,3,999,0,27871
cellular,jul,mon,4,999,0,41093
cellular,aug,mon,3,999,0,10920
telephone,may,thu,2,999,0,17181
cellular,jul,tue,3,999,0,32584
cellular,jun,wed,1,6,1,3275
telephone,jun,mon,1,999,0,36445
cellular,may,wed,1,12,1,33883
cellular,may,thu,2,999,0,29859
cellular,aug,tue,1,999,0,21485
cellular,aug,tue,1,999,0,22524
cellular,jul,fri,3,999,0,20703
cellular,aug,fri,2,999,0,40000
telephone,may,fri,1,999,0,9045
cellular,jul,thu,1,999,0,39790
telephone,jul,thu,4,999,0,15972
cellular,aug,fri,1,999,0,1918
telephone,may,tue,1,999,0,39051
cellular,may,mon,2,999,1,38514
cellular,aug,tue,5,999,0,18997
telephone,jun,thu,2,999,0,8699
cellular,apr,thu,1,999,0,14331
cellular,aug,tue,7,999,0,16674
cellular,mar,wed,1,999,0,33404
cellular,nov,tue,1,999,0,31547
telephone,may,wed,2,999,0,35077
telephone,nov,tue,2,999,1,496
telephone,jul,fri,2,999,0,12436
cellular,aug,thu,1,999,0,8051
cellular,sep,mon,1,999,0,12157
cellular,may,mon,4,999,1,9705
cellular,apr,thu,1,2,1,3104
cellular,apr,mon,10,999,0,32780
cellular,nov,mon,1,999,0,6191
cellular,may,wed,1,999,1,4268
cellular,apr,fri,1,999,1,22387
cellular,nov,thu,3,999,0,1257
cellular,aug,fri,3,999,0,13219
cellular,jul,tue,2,999,0,2484
telephone,oct,mon,1,999,0,39391
cellular,jul,mon,4,999,0,40776
cellular,aug,wed,3,999,0,14754
telephone,jun,mon,1,999,0,31658
cellular,aug,tue,4,999,0,3015
cellular,nov,fri,3,999,0,13526
cellular,may,thu,2,999,0,27769
cellular,aug,wed,2,999,0,919
telephone,jun,wed,1,999,0,3505
cellular,apr,mon,1,999,0,4505
cellular,mar,tue,2,999,0,9117
telephone,may,tue,2,999,0,38050
telephone,jun,mon,1,999,0,22948
cellular,aug,tue,3,999,0,34603
cellular,nov,wed,1,999,0,37421
cellular,jun,wed,1,999,1,3783
cellular,jul,wed,2,999,0,11873
cellular,aug,fri,1,999,0,14804
telephone,may,tue,2,999,0,38989
telephone,may,wed,3,999,0,32391
cellular,jul,wed,1,999,0,29072
telephone,jun,wed,4,999,0,18251
cellular,jul,tue,1,999,0,33716
cellular,nov,fri,1,3,1,11277
telephone,may,mon,2,999,0,3856
cellular,nov,thu,1,999,0,16505
telephone,jun,fri,2,999,0,11708
cellular,sep,wed,1,5,1,3798
telephone,jul,tue,6,999,0,2933
cellular,nov,thu,1,999,0,32792
cellular,aug,thu,3,999,0,20401
cellular,nov,tue,2,999,1,21914
telephone,jun,fri,22,999,0,20942
telephone,may,mon,11,999,0,31152
cellular,nov,wed,1,999,1,28117
cellular,jul,wed,15,999,0,18315
cellular,sep,wed,2,999,0,22140
cellular,nov,wed,1,7,1,36478
cellular,aug,wed,3,999,0,32106
cellular,may,thu,1,999,1,17184
cellular,apr,mon,1,999,0,5289
telephone,jun,mon,1,999,0,33842
cellular,may,fri,4,999,0,24649
cellular,aug,mon,1,999,0,36444
cellular,may,wed,2,999,1,34866
cellular,may,wed,2,999,0,15186
cellular,apr,thu,1,999,0,12681
telephone,may,mon,1,999,0,4205
telephone,may,tue,5,999,0,12735
cellular,jul,mon,2,6,1,26113
cellular,aug,mon,1,999,0,22202
cellular,may,fri,1,999,0,10650
cellular,may,fri,2,999,0,26647
cellular,jul,thu,1,999,0,27520
telephone,may,tue,1,999,0,39599
cellular,apr,fri,1,999,0,29178
cellular,jul,wed,2,999,0,29716
cellular,nov,thu,1,999,0,18697
cellular,nov,tue,1,999,0,29047
cellular,aug,fri,2,999,0,25282
cellular,jun,wed,1,999,0,393
cellular,jul,mon,3,999,0,36457
